#韻母 karlgren yanglik lixyeng zjeuhyengphyon drienghtriangzjangpyang phuanngohyon pulleyblank
薛開 i̯ɛt ĭɛt iɛt iæt iᴇt iɛt iat
薛合 i̯wɛt ĭuɛt iuɛt iuæt iuᴇt ʷiet wiat
薛A開 i̯ɛt ĭɛt iɛt jæt iᴇt iɛt iat
薛A合 i̯wɛt ĭuɛt iuɛt juæt iuᴇt ʷiɛt wiat
薛B開 i̯ɛt ĭɛt jɛt iæt ɣiᴇt ɯiɛt iat
薛B合 i̯wɛt ĭuɛt juɛt iuæt ɣiuᴇt ʷɯiet wiat
先開 ien ien en ɛn en en ɛn
先合 iwen iwen uen uɛn wen ʷen wɛn
屑開 iet iet et ɛt et et ɛt
屑合 iwet iwet uet uɛt wet ʷet wɛt
豪 ɑu ɑu ɑu ɑu ɑu ɑu aw
肴 au au au au ɣau ɯau aɨw
宵 i̯ɛu ĭɛu iɛu iæu iᴇu iɛu iaw
宵A i̯ɛu ĭɛu iɛu jæu iᴇu iɛu iaw
宵B i̯ɛu ĭɛu jɛu iæu ɣiᴇu ɯiɛu iaw
蕭 ieu ieu eu eu eu eu ɛw
歌 ɑ ɑ ɑ ɑ ɑ ɑ a
戈一合 uɑ uɑ uɑ uɑ uɑ uɑ wa
戈三開 i̯ɑ ǐɑ iɑ iɑ ɨɑ iɑ ɨa
戈三合 i̯uɑ ĭuɑ iuɑ iuɑ ɨuɑ ʷiɑ ua
麻二開 a a a a ɣa ɯa aɨ
麻二合 wa wa ua ua ɣua ʷɯa waɨ
麻三開 i̯a ĭa ia ia ia ia ia
唐開 ɑŋ ɑŋ ɑŋ ɑŋ ɑŋ ɑŋ aŋ
唐合 wɑŋ uɑŋ uɑŋ uɑŋ wɑŋ ʷɑŋ waŋ
鐸開 ɑk ɑk ɑk ɑk ɑk ɑk ak
鐸合 wɑk uɑk uɑk uɑk wɑk ʷɑk wak
陽開 i̯aŋ ĭaŋ iaŋ iɑŋ ɨɐŋ iɐŋ ɨaŋ
陽合 i̯waŋ ĭwaŋ iuaŋ iuɑŋ ʉɐŋ ʷiɐŋ uaŋ
藥開 i̯ak ĭak iak iɑk ɨɐk iɐk ɨak
藥合 i̯wak ĭwak iuak iuɑk ʉɐk ʷiɐk uak
庚二開 ɐŋ ɐŋ ɐŋ aŋ ɣæŋ ɯaŋ aɨjŋ
庚二合 wɐŋ wɐŋ uɐŋ uaŋ wɣæŋ ʷɯaŋ waɨjŋ
庚三開 i̯ɐŋ ĭɐŋ iɐŋ iaŋ ɣiæŋ ɯiaŋ iajŋ
庚三合 i̯wɐŋ ĭwɐŋ iuɐŋ iuaŋ wɣiæŋ ʷɯiaŋ wiajŋ
陌二開 ɐk ɐk ɐk ak ɣæk ɯak aɨjk
陌二合 wɐk wɐk uɐk uak wɣæk ʷɯak waɨjk
陌三開 iɐk ĭɐk iɐk iak ɣiæk ɯiak iajk
陌三合 iwɐk ĭwɐk iuɐk iuak wɣiæk ʷɯiak wiajk
耕開 æŋ æŋ ɛŋ ɐŋ ɣɛŋ ɯæŋ əɨjŋ
耕合 wæŋ wæŋ uɛŋ uɐŋ wɣɛŋ ʷɯæŋ wəɨjŋ
麥開 æk æk ɛk ɐk ɣɛk ɯæk əɨjk
麥合 wæk wæk uɛk uɐk wɣɛk ʷɯæk wəɨjk
清開 i̯ɛŋ ĭɛŋ iɛŋ iæŋ iᴇŋ iɛŋ iajŋ
清合 i̯wɛŋ ĭwɛŋ iuɛŋ iuæŋ wiᴇŋ ʷiɛŋ wiajŋ
清A開 i̯ɛŋ ĭɛŋ iɛŋ jæŋ iᴇŋ iɛŋ iajŋ
清A合 i̯wɛŋ ĭwɛŋ iuɛŋ juæŋ wiᴇŋ ʷiɛŋ wiajŋ
昔開 i̯ɛk ĭɛk iɛk iæk iᴇk iɛk iajk
昔合 i̯wɛk ĭwɛk iuɛk iuæk wiᴇk ʷiɛk wiajk
昔A開 i̯ɛk ĭɛk iɛk jæk iᴇk iɛk iajk
昔A合 i̯wɛk ĭwɛk iuɛk juæk wiᴇk ʷiɛk wiajk
青開 ieŋ ieŋ eŋ ɛŋ eŋ eŋ ɛjŋ
青合 iweŋ iweŋ ueŋ uɛŋ weŋ ʷeŋ wɛjŋ
錫開 iek iek ek ɛk ek ek ɛjk
錫合 iwek iwek uek uɛk wek ʷek wɛjk
登開 əŋ əŋ əŋ əŋ əŋ əŋ əŋ
登合 wəŋ uəŋ uəŋ uəŋ wəŋ ʷəŋ wəŋ
德開 ək ək ək ək ək ək ək
德合 wək uək uək uək wək ʷək wək
蒸 i̯əŋ ĭəŋ iəŋ ieŋ ɨŋ ɨŋ iŋ
職開 i̯ək ĭək iək iek ɨk ɨk ik
職合 i̯wək ĭwək iuək iuek wɨk ʷɨk ik
尤 i̯ə̯u ĭəu iu iəu ɨu iu uw
侯 ə̯u əu u əu əu əu əw
幽 i̯ĕu iəu iĕu ieu iɪu ɨu jiw
侵 i̯əm ĭĕm iəm iem iɪm im im
侵A i̯əm ĭĕm iəm jem iɪm im im
侵B i̯əm ĭĕm jəm iem ɣiɪm ɯim jim
緝 i̯əp ĭĕp iəp iep iɪp ip ip
緝A i̯əp ĭĕp iəp jep iɪp ip ip
緝B i̯əp ĭĕp jəp iep ɣiɪp ɯip jip
談 ɑm ɑm ɑm ɑm ɑm ɑm am
盍 ɑp ɑp ɑp ɑp ɑp ɑp ap
嚴 i̯ɐm ĭɐm iɐm iɐm ɨɐm iɐm ɨam
凡 i̯wɐm ĭwɐm iɐm iɐm ɨɐm iɐm uam
業 i̯ɐp ĭɐp iap iɐp ɨɐp iɐp ɨap
乏 i̯wɐp ĭwɐp iɐp iɐp ɨɐp iɐp uap
銜 am am am am ɣam ɯam aɨm
狎 ap ap ap ap ɣap ɯap aɨp
咸 ăm ɐm ɐm ɐm ɣɛm ɯæm əɨm
洽 ăp ɐp ɐp ɐp ɣɛp ɯæp əɨp
鹽 i̯ɛm ĭɛm iɛm iæm iᴇm iɛm iam
鹽A i̯ɛm ĭɛm iɛm jæm iᴇm iɛm iam
鹽B i̯ɛm ĭɛm jɛm iæm ɣiᴇm ɯiɛm jiam
葉 i̯ɛp ĭɛp iɛp iæp iᴇp iɛp iap
葉A i̯ɛp ĭɛp iɛp jæp iᴇp iɛp iap
葉B i̯ɛp ĭɛp jɛp iæp ɣiᴇp ɯiɛp jiap
添 iem iem em ɛm em em ɛm
怗 iep iep ep ɛp ep ep ɛp
覃 ɑ̆m ɒm ᴀm ɒm ʌm əm əm
合 ɑ̆p ɒp ᴀp ɒp ʌp əp əp
