#韻母 baxter polyhedron 中州音 普通話
鹽 jem iem iɛm/am ian
鹽A jiem jem iɛm ian
鹽B jem iem iɛm ian
葉 jep iep iɛp/ap(iɛʔ/aʔ) ie
葉A jiep jep iɛp(iɛʔ) ie
葉B jep iep iɛp(iɛʔ) ie
添 em em iɛm ian
怗 ep ep iɛp(iɛʔ) ie
覃 om om am an
合 op op ap(aʔ) e
