#序號 推導中州音 推導普通話
1071 tʃʰim chen1
1072 tʱam˩ tan2
1073 tsʰam can1
1074 nam˩ nan2
1075 ʔam an1
1076 ɦam˩ han2
1077 lam˩ lan2
1078 tsʱam˩ can2
1079 tsam zan1
1080 tʰam tan1
1081 tam dan1
1082 kʰam kan1
1083 ham han1
1084 sam san1
1085 kam gan1
1086 ŋam˩ an2
1087 tʱam˩ tan2
1088 kam gan1
1089 tam dan1
1090 sam san1
1091 lam˩ lan2
1092 kʰam kan1
1093 tʰam tan1
1094 tsʱam˩ can2
1095 ɦam˩ han2
1096 mam˩ man2
1097 tsʱam˩ can2
1098 ham han1
1099 jiɛm˩ yan2
1100 liɛm˩ lian2
1101 piɛm bian1
1102 siɛm xian1
1103 tsʰiɛm qian1
1104 tʃiɛm zhan1
1105 ʃʱiɛm˩ chan2
1106 ʃiɛm shan1
1107 tʃʰiɛm chan1
1108 ʒiɛm˩ ran2
1109 niɛm˩ nian2
1110 jiɛm˩ yan2
1111 tʃiɛm zhan1
1112 tʃʰiɛm chan1
1113 ʔiɛm yan1
1114 kʰiɛm qian1
1115 (ŋ)iɛm˩ yan2
1116 tsiɛm jian1
1117 tsʱiɛm˩ qian2
1118 kʱiɛm˩ qian2
1119 ʔiɛm yan1
1120 sʱiɛm˩ xian2
1121 ʂam shan1
1122 tʃʱiɛm˩ chan2
1123 kʱiɛm˩ qian2
1124 tʰiɛm tian1
1125 tiɛm dian1
1126 tʱiɛm˩ tian2
1127 liɛm˩ lian2
1128 kʰiɛm qian1
1129 kiɛm jian1
1130 ɦiɛm˩ xian2
1131 niɛm˩ nian2
1132 hiɛm xian1
1133 ɦiam˩ xian2
1134 kiam jian1
1135 ʂam shan1
1136 ʔiam yan1
1137 (ŋ)iam˩ yan2
1138 hiam xian1
1139 ʈʂam zhan1
1140 nam˩ nan2
1141 ʈʂʱam˩ chan2
1142 kʰiam qian1
1143 ɦiam˩ xian2
1144 ʈʂʱam˩ chan2
1145 (ŋ)iam˩ yan2
1146 ʈʂʰam chan1
1147 ʂam shan1
1148 kiam jian1
1149 pʱam˩ pan2
1150 kʰiam qian1
1151 jiɛm˩ yan2
1152 hiɛm xian1
1153 ʔiɛm yan1
1154 kʰiɛm qian1
1155 fʱam˩ fan2
1156 fam fan1
1157 tuŋ˥˧ dong3
1158 muŋ˥˧ meng3
1159 kʰuŋ˥˧ kong3
1160 suŋ˥˧ song3
1161 tʰuŋ˥˧ tong3
1162 tsuŋ˥˧ zong3
1163 ɦuŋ'˨˦ hong4
1164 ʔuŋ˥˧ weng3
1165 nuŋ˥˧ nong3
1166 puŋ˥˧ beng3
1167 luŋ˥˧ long3
1168 huŋ˥˧ hong3
1169 duŋ'˨˦ dong4
1170 buŋ'˨˦ beng4
1171 tʃyuŋ˥˧ zhong3
1172 tʃʰyuŋ˥˧ chong3
1173 lyuŋ˥˧ long3
1174 ʔyuŋ˥˧ yong3
1175 ʒyuŋ˥˧ rong3
1176 dʒyuŋ'˨˦ zhong4
1177 tʃyuŋ˥˧ zhong3
1178 fʱuŋ'˨˦ feng4
1179 fuŋ˥˧ feng3
1180 jyuŋ˥˧ yong3
1181 kʰyuŋ˥˧ qiong3
1182 ʃʱyuŋ'˨˦ shung4
1183 kyuŋ˥˧ jiong3
1184 syuŋ˥˧ song3
1185 hyuŋ˥˧ xiong3
1186 fuŋ˥˧ feng3
1187 tuŋ˥˧ dong3
1188 muŋ˥˧ meng3
1189 gyuŋ'˨˦ jiong4
1190 tʃʰyuŋ˥˧ chong3
1191 tʃyuŋ˥˧ zhong3
1192 tsyuŋ˥˧ zong3
1193 kiɑŋ˥˧ jiang3
1194 bɑŋ'˨˦ bang4
1195 ʔiɑŋ˥˧ yang3
1196 mɑŋ˥˧ mang3
1197 ɦiɑŋ'˨˦ xiang4
1198 pɑŋ˥˧ bang3
1199 hiɑŋ˥˧ xiang3
1200 tʃiɨ˥˧ zhi3
1201 ʃʱiɨ'˨˦ shi4
1202 mi˥˧ mi3
1203 pi˥˧ bi3
1204 bi'˨˦ pi4
1205 hui˥˧ hui3
1206 ʔui˥˧ wei3
1207 kʰui˥˧ kui3
1208 kui˥˧ gui3
1209 sui˥˧ sui3
1210 lui˥˧ lei3
1211 gi'˨˦ ji4
1212 ʔi˥˧ yi3
1213 ki˥˧ ji3
1214 kʰi˥˧ qi3
1215 (ŋ)i˥˧ yi3
1216 ui˥˧ wei3
1217 tsui˥˧ zui3
1218 ʒui˥˧ rui3
1219 tsʰɨ˥˧ ci3
1220 dʒi'˨˦ zhi4
1221 sɨ˥˧ si3
1222 ji˥˧ yi3
1223 li˥˧ li3
1224 ʂɨ˥˧ shi3
1225 pi˥˧ bi3
1226 ɻ˥˧ er3
1227 mi˥˧ mi3
1228 bi'˨˦ pi4
1229 tʃʰiɨ˥˧ chi3
1230 ʃiɨ˥˧ shi3
1231 tsɨ˥˧ zi3
1232 ʈʂui˥˧ zhui3
1233 ʈʂʰui˥˧ chuai3
1234 sʱui'˨˦ sui4
1235 ʃʱiɨ'˨˦ shi4
1236 ʈʂɨ˥˧ zhi3
1237 pʰi˥˧ pi3
1238 pʰi˥˧ pi3
1239 ui˥˧ wei3
1240 dzui'˨˦ zui4
1241 kʰui˥˧ kui3
1242 ni˥˧ ni3
1243 ŋui˥˧ wei3
1244 gui'˨˦ gui4
1245 tʃʰi˥˧ chi3
1246 tʃi˥˧ zhi3
1247 hi˥˧ xi3
1248 kʰi˥˧ kui3
1249 ʂʱui'˨˦ shui4
1250 ki˥˧ ji3
1251 tʃiɨ˥˧ zhi3
1252 ʃʱiɨ'˨˦ shi4
1253 mi˥˧ mi3
1254 pi˥˧ bi3
1255 sʱɨ'˨˦ si4
1256 ki˥˧ ji3
1257 tsɨ˥˧ zi3
1258 pi˥˧ bi3
1259 kui˥˧ gui3
1260 ui˥˧ wei3
1261 ʃiɨ˥˧ shi3
1262 dʒi'˨˦ zhi4
1263 sɨ˥˧ si3
1264 bi'˨˦ bi4
1265 li˥˧ li3
1266 ʂui˥˧ shui3
1267 lui˥˧ lei3
1268 gui'˨˦ gui4
1269 tsʰui˥˧ cui3
1270 ni˥˧ ni3
1271 kui˥˧ gui3
1272 bi'˨˦ bi4
1273 dzui'˨˦ zui4
1274 pʰi˥˧ pi3
1275 ʒui˥˧ rui3
1276 ui˥˧ wei3
1277 ʔi˥˧ yi3
1278 tsui˥˧ zui3
1279 tʃi˥˧ zhi3
1280 tʃʰi˥˧ chi3
1281 tʃiɨ˥˧ zhi3
1282 hui˥˧ hui3
1283 gui'˨˦ gui3
1284 gi'˨˦ ji4
1285 kʰui˥˧ kui3
1286 tʃiɨ˥˧ zhi3
1287 ʃʱiɨ'˨˦ shi4
1288 tʃi˥˧ zhi3
1289 hi˥˧ xi3
1290 ki˥˧ ji3
1291 ji˥˧ yi3
1292 sʱɨ'˨˦ si4
1293 ʂɨ˥˧ shi3
1294 ɻ˥˧ er3
1295 li˥˧ li3
1296 sɨ˥˧ si3
1297 ʃiɨ˥˧ shi3
1298 dʒi'˨˦ zhi4
1299 kʰi˥˧ qi3
1300 ʂʱɨ'˨˦ shi4
1301 sʱɨ'˨˦/ʂʱɨ'˨˦ shi4
1302 tsɨ˥˧ zi3
1303 ji˥˧ yi3
1304 (ŋ)i˥˧/ji˥˧ yi3
1305 tʃʰiɨ˥˧ chi3
1306 tʃʰi˥˧ chi3
1307 ʈʂʰɨ˥˧ chi3
1308 ʈʂɨ˥˧ zhi3
1309 ʔi˥˧ yi3
1310 ni˥˧ ni3
1311 vi˥˧ wei3
1312 ʔi˥˧ yi3
1313 kʰi˥˧ qi3
1314 ki˥˧ ji3
1315 fi˥˧ fei3
1316 fi˥˧ fei3
1317 ui˥˧ wei3
1318 kui˥˧ gui3
1319 hui˥˧ hui3
1320 (ŋ)i˥˧ yi3
1321 hi˥˧ xi3
1322 ʔui˥˧ wei3
1323 fʱi'˨˦ fei4
1324 (ŋ)y˥˧ yu3
1325 ly˥˧ lv3
1326 dʒy'˨˦ zhu4
1327 jy˥˧ yu3
1328 tʃy˥˧ zhu3
1329 ʒy˥˧ ru3
1330 ʃy˥˧ shu3
1331 tʃʰy˥˧ chu3
1332 tʃy˥˧ zhu3
1333 sy˥˧ xu3
1334 tʃʰy˥˧ chu3
1335 ny˥˧ nv3
1336 hy˥˧ xu3
1337 gy'˨˦ ju4
1338 ʂu˥˧ shu3
1339 ʈʂʰu˥˧ chu3
1340 ʈʂu˥˧ zhu3
1341 ɖʐu'˨˦ shu4
1342 dzy'˨˦ ju4
1343 ʔy˥˧ yu3
1344 ky˥˧ ju3
1345 sʱy'˨˦ xu4
1346 kʰy˥˧ qu3
1347 ʃʱy'˨˦ shu4
1348 ʃʱy'˨˦ shu4
1349 tsʰy˥˧ qu3
1350 tsy˥˧ ju3
1351 (ŋ)y˥˧ yu3
1352 jy˥˧ yu3
1353 dzy'˨˦ ju4
1354 fu˥˧ fu3
1355 vu˥˧ wu3
1356 fʱu'˨˦ fu4
1357 fu˥˧ fu3
1358 dʒy'˨˦ zhu4
1359 hy˥˧ xu3
1360 ʃʱy'˨˦ shu4
1361 jy˥˧ yu3
1362 tʃy˥˧ zhu3
1363 ʔy˥˧ yu3
1364 kʰy˥˧ qu3
1365 tʃy˥˧ zhu3
1366 ʒy˥˧ ru3
1367 gy'˨˦ ju4
1368 ʂu˥˧ shu3
1369 ky˥˧ ju3
1370 tsʰy˥˧ qu3
1371 ly˥˧ lv3
1372 sy˥˧ xu3
1373 ɖʐu'˨˦ shu4
1374 mu˥˧ mu3
1375 tʰu˥˧ tu3
1376 du'˨˦ du4
1377 lu˥˧ lu3
1378 tsʰu˥˧ cu3
1379 tu˥˧ du3
1380 ku˥˧ gu3
1381 ŋu˥˧ wu3
1382 bu'˨˦ bu4
1383 dzu'˨˦ zu4
1384 tsu˥˧ zu3
1385 hu˥˧ hu3
1386 ʔu˥˧ wu3
1387 kʰu˥˧ ku3
1388 nu˥˧ nu3
1389 ɦu'˨˦ hu4
1390 pʰu˥˧ pu3
1391 pu˥˧ bu3
1392 dziɪi'˨˦ ji4
1393 liɪi˥˧ li3
1394 tʰiɪi˥˧ ti3
1395 pʰiɪi˥˧ pi3
1396 tsiɪi˥˧ ji3
1397 tiɪi˥˧ di3
1398 diɪi'˨˦ di4
1399 niɪi˥˧ ni3
1400 siɪi˥˧ xi3
1401 tsʰiɪi˥˧ qi3
1402 kʰiɪi˥˧ qi3
1403 ɦiɪi'˨˦ xi3
1404 miɪi˥˧ mi3
1405 biɪi'˨˦ bi4
1406 ʔiɪi˥˧ yi3
1407 ŋi˥˧ yi3
1408 piɪi˥˧ bi3
1409 ɦiai'˨˦ xia4
1410 mai˥˧ mai3
1411 kʰiai˥˧ qia3
1412 ɖʐai'˨˦ zhai4
1413 nai˥˧ nai3
1414 ba'˨˦(!) bai3
1415 ʔiai˥˧ ya3
1416 pai˥˧ bai3
1417 kiai˥˧ jia3
1418 ʂai˥˧ shai3
1419 kwa˥˧ gua3
1420 ɖʐwa'˨˦ zhuai4
1421 ɦwa'˨˦ hua4
1422 hwa˥˧ hua3
1423 giai'˨˦ 
1424 ɦiai'˨˦ xie4
1425 kʰiai˥˧ qie3
1426 (ŋ)iai˥˧ ye3
1427 ʔiai˥˧ ye3
1428 hui˥˧ hui3
1429 ʔui˥˧ wei3
1430 lui˥˧ lei3
1431 dui'˨˦ dui4
1432 dzui'˨˦ zui4
1433 mui˥˧ mei3
1434 tʰui˥˧ tui3
1435 ɦui'˨˦ hui4
1436 kʰui˥˧ kui3
1437 tui˥˧ dui3
1438 nui˥˧ nei3
1439 ʈʂui˥˧ 
1440 ŋui˥˧ wei3
1441 tsʰui˥˧ cui3
1442 bui'˨˦ bei4
1443 tsui˥˧ zui3
1444 ui˥˧ 
1445 hai˥˧ hai3
1446 kʰai˥˧ kai3
1447 tsai˥˧ zai3
1448 dai'˨˦ dai4
1449 nai˥˧ nai3
1450 kai˥˧ gai3
1451 ɦai'˨˦ hai4
1452 pʰai˥˧ pei3
1453 tsʰai˥˧ cai3
1454 tʃʰai˥˧ 
1455 tai˥˧ dai3
1456 mai˥˧ mei3
1457 dzai'˨˦ zai4
1458 pʰai˥˧ pei3
1459 ʔai˥˧ ai3
1460 jai˥˧ 
1461 tʰai˥˧ tai3
1462 ʒai˥˧ 
1463 lai˥˧ lai3
1464 jai˥˧ 
1465 bai'˨˦ bei4
1466 tʃin˥˧ zhen3
1467 tʃʰin˥˧ chen3
1468 ʃʱin'˨˦ shen4
1469 ʒin˥˧ ren3
1470 ʃin˥˧ shen3
1471 lin˥˧ lin3
1472 dʒin'˨˦ zhen4
1473 kin˥˧ jin3
1474 dzin'˨˦ jin4
1475 tsin˥˧ jin3
1476 bin'˨˦ bin4
1477 (ŋ)in˥˧ yin3
1478 tsʰin˥˧ qin3
1479 gyun'˨˦ Jun4
1480 jin˥˧ yin3
1481 min˥˧ min3
1482 min˥˧ min3
1483 jyun˥˧ yun3
1484 tʃyun˥˧ zhun3
1485 jyun˥˧ yun3
1486 syun˥˧ xun3
1487 ʒyun˥˧ run3
1488 tʃʰyun˥˧ chun3
1489 ʃʱyun'˨˦/ʒyun˥˧ shun4
1490 tʃʰyun˥˧ chun3
1491 lyun˥˧ lun3
1492 ʒyun˥˧ run3
1493 kʰyun˥˧ qun3
1494 kʰin˥˧ qin3
1495 ʃyun˥˧ shun3
1496 hin˥˧ xin3
1497 ɖʐən'˨˦ shen4
1498 tʃin˥˧ zhen3
1499 vun˥˧ wen3
1500 fun˥˧ fen3
1501 fʱun'˨˦ fen4
1502 fun˥˧ fen3
1503 ʔyun˥˧ yun3
1504 (ŋ)yun˥˧ yun3
1505 jyun˥˧ yun3
1506 kʰyun˥˧ qun3
1507 ʔin˥˧ yin3
1508 kin˥˧ jin3
1509 ʈʂən˥˧ zhen3
1510 kʰin˥˧ qin3
1511 gin'˨˦ jin4
1512 ʈʂʰən˥˧ chen3
1513 (ŋ)in˥˧ yin3
1514 hin˥˧ xin3
1515 (ŋ)yuɛn˥˧ yuan3
1516 jyuɛn˥˧ yuan3
1517 ʔiɛn˥˧ yan3
1518 kiɛn˥˧ jian3
1519 giɛn'˨˦ jian4
1520 kʰiɛn˥˧ qian3
1521 (ŋ)iɛn˥˧ yan3
1522 hiɛn˥˧ xian3
1523 van˥˧ wan3
1524 fan˥˧ fan3
1525 gyuɛn'˨˦ juan4
1526 ʔyuɛn˥˧ yuan3
1527 kʰyuɛn˥˧ quan3
1528 hyuɛn˥˧ xuan3
1529 fʱan'˨˦ fan4
1530 ɦun'˨˦ hun4
1531 pʰun˥˧ pen3
1532 tsʰun˥˧ cun3
1533 pun˥˧ ben3
1534 sun˥˧ sun3
1535 tsun˥˧ zun3
1536 ʔun˥˧ wen3
1537 dun'˨˦ dun4
1538 dzun'˨˦ zun4
1539 kun˥˧ gun3
1540 tʰun˥˧ tun3
1541 kʰun˥˧ kun3
1542 lun˥˧ lun3
1543 bun'˨˦ ben4
1544 mun˥˧ men3
1545 nun˥˧ nun3
1546 hun˥˧ hun3
1547 ɦən'˨˦ hen4
1548 kʰən˥˧ ken3
1549 kən˥˧ gen3
1550 ɦɑn'˨˦ han4
1551 tan˥˧ dan3
1552 tʰan˥˧ 
1553 san˥˧ san3
1554 dan'˨˦ dan4
1555 dzan'˨˦ zan4
1556 kɑn˥˧ gan3
1557 lan˥˧ lan3
1558 kʰɑn˥˧ kan3
1559 hɑn˥˧ han3
1560 tsan˥˧ zan3
1561 ɦwɔn'˨˦ huan4
1562 twɔn˥˧ duan3
1563 ʔwɔn˥˧ wan3
1564 tʰwɔn˥˧ tuan3
1565 swɔn˥˧ suan3
1566 kwɔn˥˧ guan3
1567 lwɔn˥˧ luan3
1568 kʰwɔn˥˧ kuan3
1569 nwɔn˥˧ nuan3
1570 tswɔn˥˧ zuan3
1571 bwɔn'˨˦ ban4
1572 mwɔn˥˧ man3
1573 pwɔn˥˧ ban3
1574 sʱwɔn'˨˦ 
1575 dwɔn'˨˦ duan4
1576 nan˥˧ nan3
1577 pʰwɔn˥˧ pan3
1578 ʂan˥˧ shan3
1579 ʔwan˥˧ wan3
1580 pan˥˧ ban3
1581 ʈʂan˥˧ zhan3
1582 nan˥˧ nan3
1583 ɦian'˨˦ xian4
1584 ɦwan'˨˦ huan4
1585 ban'˨˦ ban4
1586 man˥˧ man3
1587 ɖʐan'˨˦ shan4
1588 (ŋ)ian˥˧ yan3
1589 ʈʂʰan˥˧ chan3
1590 pʰan˥˧ pan3
1591 ɖʐwan'˨˦ shuan4
1592 ʂan˥˧ shan3
1593 ɦian'˨˦ xian4
1594 man˥˧ 
1595 kian˥˧ jian3
1596 ʈʂʰan˥˧ chan3
1597 ɖʐan'˨˦ shan4
1598 (ŋ)ian˥˧ yan3
1599 ʈʂan˥˧ zhan3
1600 ʈʂʰwan˥˧ chuan3
1601 kʰian˥˧ qian3
1602 siɛn˥˧ xian3
1603 tʰiɛn˥˧ tian3
1604 tiɛn˥˧ dian3
1605 ʔiɛn˥˧ yan3
1606 diɛn'˨˦ dian4
1607 kiɛn˥˧ jian3
1608 ɦiɛn'˨˦ xian4
1609 hiɛn˥˧ xian3
1610 miɛn˥˧ mian3
1611 niɛn˥˧ nian3
1612 piɛn˥˧ bian3
1613 ɦyuɛn'˨˦ xuan4
1614 kyuɛn˥˧ juan3
1615 biɛn'˨˦ bian4
1616 kʰyuɛn˥˧ quan3
1617 kʰiɛn˥˧ qian3
1618 ŋiɛn˥˧/niɛn˥˧ yan3
1619 siɛn˥˧ xian3
1620 jiɛn˥˧ yan3
1621 dziɛn'˨˦ juan4
1622 tʃiɛn˥˧ zhan3
1623 tʃiɛn˥˧ zhan3
1624 niɛn˥˧ nian3
1625 tsʰiɛn˥˧ qian3
1626 tʃʰiɛn˥˧ chan3
1627 kʰiɛn˥˧ qian3
1628 kiɛn˥˧ jian3
1629 ʃʱiɛn'˨˦ shan4
1630 tsiɛn˥˧ jian3
1631 ʒiɛn˥˧ ran3
1632 sʱiɛn'˨˦ xian4
1633 liɛn˥˧ lian3
1634 (ŋ)iɛn˥˧ yan3
1635 giɛn'˨˦ jian4
1636 biɛn'˨˦ bian4
1637 miɛn˥˧ mian3
1638 piɛn˥˧ bian3
1639 tsyuɛn˥˧ juan3
1640 dzyuɛn'˨˦ juan4
1641 piɛn˥˧ bian3
1642 jyuɛn˥˧ yuan3
1643 lyuɛn˥˧ luan3
1644 tʃyuɛn˥˧ zhuan3
1645 kyuɛn˥˧ juan3
1646 gyuɛn'˨˦ juan4
1647 ʒyuɛn˥˧ ruan3
1648 tʃʰyuɛn˥˧ chuan3
1649 ʃʱyuɛn'˨˦ shuan4
1650 dʒyuɛn'˨˦ zhuan4
1651 tʃyuɛn˥˧ zhuan3
1652 syuɛn˥˧ xuan3
1653 ɖʐwan'˨˦ shuan4
1654 gyuɛn'˨˦ juan4
1655 hyuɛn˥˧ xuan3
1656 biɛn'˨˦ bian4
1657 miɛn˥˧ mian3
1658 tʃʰiɛn˥˧ chan3
1659 pʰiɛn˥˧ pian3
1660 ʃiɛn˥˧ shan3
1661 ʔiɛn˥˧ yan3
1662 dʒiɛn'˨˦ zhan4
1663 ɖʐan'˨˦ shuan4
1664 siɛw˥˧ xiao3
1665 kiɛw˥˧ jiao3
1666 tiɛw˥˧ diao3
1667 liɛw˥˧ liao3
1668 tʰiɛw˥˧ tiao3
1669 hiɛw˥˧ xiao3
1670 ʔiɛw˥˧ yao3
1671 niɛw˥˧ niao3
1672 ɦiɛw'˨˦ xiao4
1673 diɛw'˨˦ diao4
1674 kʰiɛw˥˧ qiao3
1675 tsiɛw˥˧ jiao3
1676 siɛw˥˧ xiao3
1677 dʒiɛw'˨˦ zhao4
1678 tʃiɛw˥˧ zhao3
1679 ʔiɛw˥˧ yao3
1680 tʃʰiɛw˥˧ chao3
1681 ʃiɛw˥˧ shao3
1682 ʒiɛw˥˧ rao3
1683 biɛw'˨˦ biao4
1684 tʃʰiɛw˥˧ chao3
1685 pʰiɛw˥˧ piao3
1686 miɛw˥˧ miao3
1687 ʃʱiɛw'˨˦ shao4
1688 kiɛw˥˧ jiao3
1689 piɛw˥˧ biao3
1690 piɛw˥˧ biao3
1691 biɛw'˨˦ biao4
1692 jiɛw˥˧ yao3
1693 tsʰiɛw˥˧ qiao3
1694 tsiɛw˥˧ jiao3
1695 giɛw'˨˦ jiao4
1696 liɛw˥˧ liao3
1697 pʰiɛw˥˧ piao3
1698 ʔiɛw˥˧ yao3
1699 kʰiaw˥˧ qiao3
1700 ɦiaw'˨˦ xiao4
1701 paw˥˧ bao3
1702 naw˥˧ nao3
1703 maw˥˧ mao3
1704 kiaw˥˧ jiao3
1705 ʈʂaw˥˧ zhao3
1706 ʔiaw˥˧ yao3
1707 baw'˨˦ bao4
1708 (ŋ)iaw˥˧ yao3
1709 ɖʐaw'˨˦ shao4
1710 ʈʂʰaw˥˧ chao3
1711 ʈʂaw˥˧ zhao3
1712 ʂaw˥˧ shao3
1713 ɦaw'˨˦ hao4
1714 baw'˨˦ bao4
1715 law˥˧ lao3
1716 tʰaw˥˧ tao3
1717 daw'˨˦ dao4
1718 naw˥˧ nao3
1719 saw˥˧ sao3
1720 taw˥˧ dao3
1721 tsʰaw˥˧ cao3
1722 tsaw˥˧ zao3
1723 dzaw'˨˦ zao4
1724 kaw˥˧ gao3
1725 haw˥˧ hao3
1726 maw˥˧ mao3
1727 paw˥˧ bao3
1728 ʔaw˥˧ ao3
1729 kʰaw˥˧ kao3
1730 ŋaw˥˧ ao3
1731 kɔ˥˧ ge3
1732 tsʰɔ˥˧ cuo3
1733 tɔ˥˧ duo3
1734 sɔ˥˧ suo3
1735 dɔ'˨˦ duo4
1736 ŋɔ˥˧ e3
1737 tʰɔ˥˧ tuo3
1738 lɔ˥˧ luo3
1739 nɔ˥˧ nuo3
1740 ɦɔ'˨˦ he4
1741 hɔ˥˧ he3
1742 kʰɔ˥˧ ke3
1743 ʔɔ˥˧ e3
1744 tsɔ˥˧ zuo3
1745 kwɔ˥˧ guo3
1746 twɔ˥˧ duo3
1747 swɔ˥˧ suo3
1748 dwɔ'˨˦ duo4
1749 tʰwɔ˥˧ tuo3
1750 mwɔ˥˧ mo3
1751 dzwɔ'˨˦ zuo4
1752 ŋwɔ˥˧ wo3
1753 lwɔ˥˧ luo3
1754 ʔwɔ˥˧ wo3
1755 nwɔ˥˧ nuo3
1756 pwɔ˥˧ bo3
1757 pʰwɔ˥˧ po3
1758 ɦwɔ'˨˦ huo4
1759 hwɔ˥˧ huo3
1760 kʰwɔ˥˧ kuo3
1761 bɔ'˨˦ bo4
1762 tsʰwɔ˥˧ cuo3
1763 tswɔ˥˧ zuo3
1764 ma˥˧ ma3
1765 tʃiɛ˥˧ zhe3
1766 jiɛ˥˧ ye3
1767 (ŋ)ia˥˧ ya3
1768 kia˥˧ jia3
1769 ʂa˥˧ sha3
1770 ʔia˥˧ ya3
1771 sʱiɛ'˨˦ xie4
1772 ɦia'˨˦ xia4
1773 siɛ˥˧ xie3
1774 tsyuɛ˥˧ jue3
1775 miɛ˥˧ mie3
1776 tsʰiɛ˥˧ qie3
1777 hia˥˧ xia3
1778 ʃʱiɛ'˨˦ she4
1779 kʰia˥˧ qia3
1780 ba'˨˦ ba4
1781 ʃiɛ˥˧ she3
1782 tsiɛ˥˧ jie3
1783 pa˥˧ ba3
1784 ɦwa'˨˦ hua4
1785 kwa˥˧ gua3
1786 ŋwa˥˧ wa3
1787 ʒiɛ˥˧ re3
1788 ʈʂa˥˧ zha3
1789 ʈʂa˥˧ zha3
1790 ɖʐa'˨˦ sha4
1791 tʃʰiɛ˥˧ che3
1792 ʈʂa˥˧ zha3
1793 na˥˧ na3
1794 kʰwa˥˧ kua3
1795 ʈʂʰwa˥˧ chua3
1796 ʈʂʰwa˥˧ chua3
1797 ʂwa˥˧ shua3
1798 ʈʂʰa˥˧ cha3
1799 la˥˧ la3
1800 jiɑŋ˥˧ yang3
1801 sʱiɑŋ'˨˦ xiang4
1802 tsiɑŋ˥˧ jiang3
1803 liɑŋ˥˧ liang3
1804 ʔiɑŋ˥˧ yang3
1805 giɑŋ'˨˦ jiang4
1806 (ŋ)iɑŋ˥˧ yang3
1807 ʈʂʰwɑŋ˥˧ chuang3
1808 siɑŋ˥˧ xiang3
1809 tʃiɑŋ˥˧ zhang3
1810 ʂwɑŋ˥˧ shuang3
1811 hiɑŋ˥˧ xiang3
1812 tʃʰiɑŋ˥˧ chang3
1813 kiɑŋ˥˧ jiang3
1814 dʒiɑŋ'˨˦ zhang4
1815 tʃʰiɑŋ˥˧ chang3
1816 kwɑŋ˥˧ guang3
1817 ʒiɑŋ˥˧ rang3
1818 ʃiɑŋ˥˧ shang3
1819 fɑŋ˥˧ fang3
1820 vɑŋ˥˧ wang3
1821 fɑŋ˥˧ fang3
1822 ʔwɑŋ˥˧ wang3
1823 wɑŋ˥˧ wang3
1824 hwɑŋ˥˧ huang3
1825 tsʰiɑŋ˥˧ qiang3
1826 tʃiɑŋ˥˧ zhang3
1827 ʃʱiɑŋ'˨˦ shang4
1828 gwɑŋ'˨˦ guang4
1829 kwɑŋ˥˧ guang3
1830 fʱɑŋ'˨˦ fang4
1831 ʈʂʰwɑŋ˥˧ chuang3
1832 dɑŋ'˨˦ dang4
1833 sɑŋ˥˧ sang3
1834 kwɑŋ˥˧ guang3
1835 pɑŋ˥˧ bang3
1836 tsɑŋ˥˧ zang3
1837 nɑŋ˥˧ nang3
1838 ɦɑŋ'˨˦ hang4
1839 tʰɑŋ˥˧ tang3
1840 mɑŋ˥˧ mang3
1841 tɑŋ˥˧ dang3
1842 lɑŋ˥˧ lang3
1843 ʔɑŋ˥˧ ang3
1844 kʰɑŋ˥˧ kang3
1845 ʔwɑŋ˥˧ wang3
1846 ɦwɑŋ'˨˦ huang4
1847 pʰɑŋ˥˧ pang3
1848 hwɑŋ˥˧ huang3
1849 kɑŋ˥˧ gang3
1850 ŋɑŋ˥˧ ang3
1851 dzɑŋ'˨˦ zang4
1852 tsʰɑŋ˥˧ cang3
1853 hɑŋ˥˧ hang3
1854 kʰwɑŋ˥˧ kuang3
1855 kəŋ˥˧/kiŋ˥˧ geng3
1856 piŋ˥˧ bing3
1857 kiŋ˥˧ jing3
1858 ʔiŋ˥˧ ying3
1859 ʂəŋ˥˧ sheng3
1860 jyuəŋ˥˧ yong3
1861 hyuəŋ˥˧ xiong3
1862 miŋ˥˧ ming3
1863 kyuəŋ˥˧ jiong3
1864 ɦiŋ'˨˦ heng4
1865 məŋ˥˧ meng3
1866 kwəŋ˥˧ gong3
1867 pəŋ˥˧ beng3
1868 ʈʂəŋ˥˧ zheng3
1869 ɖʐəŋ'˨˦ zheng4
1870 ʔwəŋ˥˧ weng3
1871 təŋ˥˧ 
1872 ləŋ˥˧ leng3
1873 ɦwəŋ'˨˦ hong4
1874 bəŋ'˨˦ beng4
1875 kʰwəŋ˥˧ kong3
1876 nəŋ˥˧ neng3
1877 kəŋ˥˧/kiŋ˥˧ geng3
1878 məŋ˥˧ meng3
1879 ɦiŋ'˨˦ heng4
1880 bəŋ'˨˦ beng4
1881 pʰəŋ˥˧ peng3
1882 dziŋ'˨˦ jing4
1883 tʃiŋ˥˧ zheng3
1884 tʃʰiŋ˥˧ cheng3
1885 jiŋ˥˧ ying3
1886 giŋ'˨˦ jing4
1887 jyuəŋ˥˧ yong3
1888 liŋ˥˧ ling3
1889 kiŋ˥˧ jing3
1890 piŋ˥˧ bing3
1891 kʰyuəŋ˥˧ qiong3
1892 tsiŋ˥˧ jing3
1893 ʔiŋ˥˧ ying3
1894 tsʰiŋ˥˧ qing3
1895 siŋ˥˧ xing3
1896 miŋ˥˧ ming3
