#序號 推導中州音 推導普通話
247 ʈʂu/tsy zhu1
248 ʃʱy˩/tʃʱy˩ chu2
249 ny˩ nv2
250 (ŋ)y˩ yu2
251 ʈʂʰu chu1
252 vu˩ wu2
253 jy˩ yu2
254 hy xu1
255 kʱy˩ qu2
256 ʒy˩ ru2
257 sy xu1
258 tʃy zhu1
259 tʃʰy chu1
260 ʃʱy˩ chu2
261 jy˩ yu2
262 kʰy qu1
263 tʃy zhu1
264 tsʰy qu1
265 ly˩ lv2
266 fʱu˩ fu2
267 ʈʂʱu˩ chu2
268 ʈʂu zhu1
269 fu fu1
270 tsy ju1
271 fu fu1
272 ʔy yu1
273 ʃy shu1
274 tʃʰy chu1
275 tʃʱy˩ chu2
276 ky ju1
277 ʂu shu1
278 mu˩ mu2
279 pʱu˩ pu2
280 ɦu˩ hu2
281 ku gu1
282 tʱu˩ tu2
283 nu˩ nu2
284 hu hu1
285 ŋu˩ wu2
286 tsu zu1
287 lu˩ lu2
288 su su1
289 tsʱu˩ cu2
290 ʔu wu1
291 pu bu1
292 kʰu ku1
293 tsʰu cu1
294 tʰu tu1
295 tu du1
296 pʰu pu1
297 tsʱiɪi˩ qi2
298 liɪi˩ li2
299 tsʰiɪi qi1
300 tiɪi di1
301 tʱiɪi˩ ti2
302 piɪi bi1
303 kiɪi ji1
304 ɦiɪi˩ xi2
305 ʔiɪi yi1
306 ŋiɪi˩/ji˩ yi2
307 hiɪi xi1
308 siɪi xi1
309 tʰiɪi ti1
310 pʱiɪi˩ pi2
311 pʰiɪi pi1
312 tsiɪi ji1
313 miɪi˩ mi2
314 niɪi˩ ni2
315 kʰiɪi qi1
316 kui gui1
317 kʰui kui1
318 ɦiɪi˩(!) hui2
319 ʒiɪi˩ 
320 ʃʱiɪi˩ 
321 ʔui wei1
322 hui hui1
323 kiai jia1
324 ɦiai˩ xia2
325 pʱai˩ pai2
326 kwa gua1
327 ʔwa wa1
328 kʰwa kua1
329 ʈʂʱai˩ chai2
330 ʈʂʰai chai1
331 hwa hua1
332 nai˩ nai2
333 (ŋ)iai˩ ya2
334 ʔwa(!) ya1
335 ʂai shai1
336 hiai xia1
337 ʈʂʰai chai1
338 mai˩ mai2
339 ɦwa˩ hua2
340 kiai jie1
341 ʔiai ye1
342 ɦiai˩ xie2
343 pʱai˩ pai2
344 kwai guai1
345 ɦwai˩ huai2
346 kʰwai kuai1
347 ʈʂʱai˩ chai2
348 ʈʂʰai chai1
349 hwai huai1
350 ʈʂʱwai˩ chuai2
351 mai˩ mai2
352 ʈʂai zhai1
353 ʔwai wai1
354 ʈʂai zhai1
355 lai˩ lai2
356 kʰiai qie1
357 nai˩ nai2
358 ʂai shai1
359 (ŋ)iai˩ ye2
360 ʈʂʰai chai1
361 hiai xie1
362 lwai˩ lai2
363 ʈʂʱwai˩ chuai2
364 hui hui1
365 kʰui kui1
366 ʔui wei1
367 ɦui˩ hui2
368 mui˩ mei2
369 kui gui1
370 lui˩ lei2
371 tʱui˩ tui2
372 tsʰui cui1
373 tui dui1
374 sui sui1
375 tsʱui˩ cui2
376 pʱui˩ pei2
377 pui bei1
378 pʰui pei1
379 ŋui˩ wei2
380 tʰui tui1
381 nui˩ nei2
382 tsui zui1
383 hai hai1
384 kʰai kai1
385 ʔai ai1
386 tʱai˩ tai2
387 kai gai1
388 tsʱai˩ cai2
389 lai˩ lai2
390 tsai zai1
391 tsʰai cai1
392 pʱai˩ pei2
393 tʰai tai1
394 ɦai˩ hai2
395 sai sai1
396 ŋai˩ ai2
397 nai˩ nai2
398 tai dai1
399 tʃʰai 
400 pʰai pei1
401 tʃin zhen1
402 tʃʰin chen1
403 ʔin yin1
404 sin xin1
405 tʃʱin˩ chen2
406 ʒin˩ ren2
407 ʃʱin˩ chen2
408 tsʰin qin1
409 jin˩ yin2
410 ʃin shen1
411 pin bin1
412 lin˩ lin2
413 kʱin˩ qin2
414 tʃin zhen1
415 tʃʱin˩ chen2
416 tsin jin1
417 tʃʰin chen1
418 tsʱin˩ qin2
419 jin˩ yin2
420 nin˩ nin2
421 pʰin pin1
422 pʱin˩ pin2
423 (ŋ)in˩ yin2
424 kin jin1
425 kyun Jun1
426 jyun˩ yun2
427 kʰyun qun1
428 min˩ min2
429 pʱin˩ pin2
430 ʔin yin1
431 ʔyun yun1
432 pin bin1
433 min˩ min2
434 tʃyun zhun1
435 tʃʰyun chun1
436 tʃʱyun˩ chun2
437 syun xun1
438 ʃʱyun˩ chun2
439 ʒyun˩ run2
440 ʃʱyun˩ chun2
441 lyun˩ lun2
442 tʃyun zhun1
443 tsʰyun qun1
444 tsyun Jun1
445 tʃʰyun chun1
446 tsʱyun˩ qun2
447 jyun˩ yun2
448 sʱyun˩ xun2
449 kyun Jun1
450 kʱin˩ qin2
451 pʰin pin1
452 ʈʂən zhen1
453 ʂən shen1
454 ʈʂʱən˩ chen2
455 vun˩ wen2
456 jyun˩ yun2
457 ʔyun yun1
458 fʱun˩ fen2
459 fun fen1
460 kʱyun˩ qun2
461 hyun xun1
462 kyun Jun1
463 fun fen1
464 hin xin1
465 ʔin yin1
466 kʱin˩ qin2
467 kin jin1
468 (ŋ)in˩ yin2
469 (ŋ)yuɛn˩ yuan2
470 jyuɛn˩ yuan2
471 fʱan˩ fan2
472 fan fan1
473 hyuɛn xuan1
474 ʔyuɛn yuan1
475 ŋiɛn˩今jiɛn˩ yan2
476 kʰiɛn qian1
477 hiɛn xian1
478 kiɛn jian1
479 ʔiɛn yan1
480 fan fan1
481 kʱiɛn˩ qian2
482 van˩ wan2
483 ɦun˩ hun2
484 kun gun1
485 ʔun wen1
486 mun˩ men2
487 sun sun1
488 tsun zun1
489 tsʱun˩ cun2
490 tun dun1
491 tʰun tun1
492 tʱun˩ tun2
493 tsʰun cun1
494 ŋun˩ wen2
495 pʱun˩ pen2
496 pun ben1
497 lun˩ lun2
498 kʰun kun1
499 hun hun1
500 pʰun pen1
501 nun˩ nun2
502 ɦən˩ hen2
503 kən gen1
504 ʔən en1
505 tʰən tun1
506 ŋən˩ en2
507 ɦɑn˩ han2
508 ŋɑn˩ an2
509 tan dan1
510 ʔɑn an1
511 nan˩ nan2
512 tsʰan can1
513 tʰan tan1
514 san san1
515 tʱan˩ tan2
516 tsʱan˩ can2
517 kɑn gan1
518 lan˩ lan2
519 kʰɑn kan1
520 hɑn han1
521 nwɔn˩ nuan2
522 ɦwɔn˩ huan2
523 ŋwɔn˩ wan2
524 twɔn duan1
525 ʔwɔn wan1
526 tʰwɔn tuan1
527 swɔn suan1
528 tʱwɔn˩ tuan2
529 tsʱwɔn˩ cuan2
530 kwɔn guan1
531 lwɔn˩ luan2
532 hwɔn huan1
533 kʰwɔn kuan1
534 tswɔn zuan1
535 pʱwɔn˩ pan2
536 mwɔn˩ man2
537 pʰwɔn pan1
538 pwɔn ban1
539 ʂan shan1
540 kwan guan1
541 ʔwan wan1
542 ʂwan shuan1
543 ɦwan˩ huan2
544 pan ban1
545 man˩ man2
546 (ŋ)ian˩ yan2
547 kian jian1
548 pʰan pan1
549 nwan˩ nuan2
550 ŋwan˩ wan2
551 kʰian qian1
552 kʰian qian1
553 ʈʂwan zhuan1
554 ʂan shan1
555 kwan guan1
556 kian jian1
557 ɦian˩ xian2
558 kʰian qian1
559 ʈʂʱan˩ chan2
560 hian xian1
561 (ŋ)ian˩ yan2
562 ʔian yan1
563 pan ban1
564 lan˩ lan2
565 nan˩ nan2
566 tʃʰan 
567 ʔwan 
568 tʱwan˩ 
569 lwan˩ luan2
570 kʱwan˩ 
571 ʈʂan zhan1
572 ʈʂʱan˩ chan2
573 ɦwan˩ huan2
574 tsʱan˩ 
575 siɛn xian1
576 tsʱiɛn˩ qian2
577 tsʰiɛn qian1
578 tsiɛn jian1
579 tʰiɛn tian1
580 kiɛn jian1
581 ɦiɛn˩ xian2
582 ʔiɛn yan1
583 liɛn˩ lian2
584 tʱiɛn˩ tian2
585 niɛn˩ nian2
586 tiɛn dian1
587 kʰiɛn qian1
588 ŋiɛn˩今jiɛn˩ yan2
589 miɛn˩ mian2
590 pʱiɛn˩ pian2
591 ʔyuɛn yuan1
592 kyuɛn juan1
593 hyuɛn xuan1
594 piɛn bian1
595 ɦyuɛn˩ xuan2
596 hiɛn xian1
597 ʈʂʱwan˩ 
598 siɛn xian1
599 tsʱiɛn˩ qian2
600 tsʰiɛn qian1
601 tsiɛn jian1
602 ʒiɛn˩ ran2
603 jiɛn˩ yan2
604 tʃiɛn zhan1
605 kiɛn jian1
606 tʃiɛn zhan1
607 ʈʂʱan˩ chan2
608 ʃiɛn shan1
609 tʃʰiɛn chan1
610 (t)ʃʱiɛn˩ chan2
611 tʃʱiɛn˩ chan2
612 hiɛn xian1
613 liɛn˩ lian2
614 pʰiɛn pian1
615 pʱiɛn˩ pian2
616 miɛn˩ mian2
617 tsʱyuɛn˩ quan2
618 syuɛn xuan1
619 tsyuɛn juan1
620 hyuɛn xuan1
621 ʒyuɛn˩ ruan2
622 tʃʰyuɛn chuan1
623 jyuɛn˩ yuan2
624 sʱyuɛn˩ xuan2
625 ʔyuɛn yuan1
626 tʃʱyuɛn˩ chuan2
627 piɛn bian1
628 sʱiɛn˩ xian2
629 tsʰyuɛn quan1
630 tʃyuɛn zhuan1
631 tʃʱyuɛn˩ chuan2
632 jyuɛn˩ yuan2
633 ʈʂwan zhuan1
634 ʂwan shuan1
635 tʃʰyuɛn chuan1
636 kʱiɛn˩ qian2
637 kʰiɛn qian1
638 kʱyuɛn˩ quan2
639 tʃʱyuɛn˩ chuan2
640 lyuɛn˩ luan2
641 kʰyuɛn quan1
642 ʔiɛn yan1
643 jiɛn˩ yan2
644 ʔyuɛn yuan1
645 tʃʰiɛn chan2
646 tʃyuɛn zhuan1
647 kyuɛn juan1
648 siɛw xiao1
649 tʰiɛw tiao1
650 tiɛw diao1
651 tʱiɛw˩ tiao2
652 kiɛw jiao1
653 liɛw˩ liao2
654 jiɛw˩ yao2
655 hiɛw xiao1
656 ʔiɛw yao1
657 kʰiɛw qiao1
658 siɛw xiao1
659 tʃʰiɛw chao1
660 tʃiɛw zhao1
661 tʃʱiɛw˩ chao2
662 hiɛw xiao1
663 tsʱiɛw˩ qiao2
664 kiɛw jiao1
665 tsiɛw jiao1
666 ʒiɛw˩ rao2
667 ʃiɛw shao1
668 jiɛw˩ yao2
669 ʃʱiɛw˩ chao2
670 tʃiɛw zhao1
671 piɛw biao1
672 piɛw biao1
673 pʱiɛw˩ piao2
674 miɛw˩ miao2
675 miɛw˩ miao2
676 ʔiɛw yao1
677 jiɛw˩ yao2
678 kʱiɛw˩ qiao2
679 tsʰiɛw qiao1
680 ʔiɛw yao1
681 kʰiɛw qiao1
682 tʃʰiɛw chao1
683 pʰiɛw piao1
684 kʱiɛw˩ qiao2
685 liɛw˩ liao2
686 kʰiɛw qiao1
687 ɦiaw˩ xiao2
688 kiaw jiao1
689 ʈʂʱaw˩ chao2
690 naw˩ nao2
691 ʂaw shao1
692 maw˩ mao2
693 hiaw xiao1
694 paw bao1
695 pʰaw pao1
696 kʰiaw qiao1
697 (ŋ)iaw˩ yao2
698 ʈʂaw zhao1
699 ʈʂaw zhao1
700 ʈʂʰaw chao1
701 pʱaw˩ pao2
702 ʔiaw yao1
703 ʈʂʰaw chao1
704 law˩ lao2
705 ʈʂʱaw˩ chao2
706 ɦaw˩ hao2
707 kaw gao1
708 law˩ lao2
709 haw hao1
710 maw˩ mao2
711 tʰaw tao1
712 taw dao1
713 saw sao1
714 pʱaw˩ pao2
715 paw bao1
716 tʱaw˩ tao2
717 tsaw zao1
718 ŋaw˩ ao2
719 tsʱaw˩ cao2
720 ʔaw ao1
721 naw˩ nao2
722 kʰaw kao1
723 tsʰaw cao1
724 pʰaw pao1
725 kɔ ge1
726 tsʰɔ cuo1
727 tɔ duo1
728 sɔ suo1
729 tʱɔ˩ tuo2
730 tsʱɔ˩ cuo2
731 ŋɔ˩ e2
732 tʰɔ tuo1
733 lɔ˩ luo2
734 nɔ˩ nuo2
735 ɦɔ˩ he2
736 hɔ he1
737 kʰɔ ke1
738 ʔɔ e1
739 kwɔ guo1
740 tsʰwɔ cuo1
741 twɔ duo1
742 swɔ suo1
743 pʱwɔ˩ po2
744 tʱwɔ˩ tuo2
745 mwɔ˩ mo2
746 tsʱwɔ˩ cuo2
747 ŋwɔ˩ wo2
748 tʰwɔ tuo1
749 lwɔ˩ luo2
750 nwɔ˩ nuo2
751 pwɔ bo1
752 pʰwɔ po1
753 ɦwɔ˩ huo2
754 kʰwɔ kuo1
755 ʔwɔ wo1
756 hyuɛ xue1
757 ʔyuɛ yue1
758 kʰyuɛ que1
759 kʱiɛ˩ qie2
760 kʰiɛ qie1
761 kiɛ jie1
762 tsʰyuɛ que1
763 tsyuɛ jue1
764 kʱyuɛ˩ que2
765 lyuɛ˩ lve2
766 ma˩ ma2
767 tʃʰiɛ che1
768 ʃiɛ she1
769 jiɛ˩ ye2
770 tʃiɛ zhe1
771 tsiɛ jie1
772 ʃʱiɛ˩ che2
773 ɦwa˩ hua2
774 kwa gua1
775 hwa hua1
776 kʰwa kua1
777 na˩ na2
778 kia jia1
779 ɦia˩ xia2
780 pʰa pa1
781 ʔia ya1
782 pa ba1
783 ʈʂʰa cha1
784 ʂa sha1
785 (ŋ)ia˩ ya2
786 ʈʂa zha1
787 ʈʂʱa˩ cha2
788 sʱiɛ˩ xie2
789 ʃʱiɛ˩ che2
790 ʔwa wa1
791 ʈʂwa zhua1
792 ʈʂwa zhua1
793 pʱa˩ pa2
794 ʈʂʱa˩ cha2
795 ʈʂʰa cha1
796 ʈʂa zha1
797 hia xia1
798 kʰia qia1
799 tsʱiɛ˩ qie2
800 ʒiɛ˩ re2
801 siɛ xie1
802 tiɛ(!) zhe1
803 ŋwa˩ wa2
804 kʰia qia1
805 jiɑŋ˩ yang2
806 sʱiɑŋ˩ xiang2
807 liɑŋ˩ liang2
808 hiɑŋ xiang1
809 ʃiɑŋ shang1
810 fʱɑŋ˩ fang2
811 tʃiɑŋ zhang1
812 tʃʰiɑŋ chang1
813 kʰiɑŋ qiang1
814 kiɑŋ jiang1
815 tʃʱiɑŋ˩ chang2
816 tʃiɑŋ zhang1
817 ʒiɑŋ˩ rang2
818 fɑŋ fang1
819 siɑŋ xiang1
820 tsiɑŋ jiang1
821 ʈʂʰwɑŋ chuang1
822 vɑŋ˩ wang2
823 niɑŋ˩ niang2
824 ʈʂʱwɑŋ˩ chuang2
825 ʈʂwɑŋ zhuang1
826 tʃʱiɑŋ˩ chang2
827 ʂwɑŋ shuang1
828 tsʱiɑŋ˩ qiang2
829 tsʰiɑŋ qiang1
830 kʰwɑŋ kuang1
831 wɑŋ˩ wang2
832 ʔiɑŋ yang1
833 kʱiɑŋ˩ qiang2
834 tʃʰiɑŋ chang1
835 fɑŋ fang1
836 kʱwɑŋ˩ kuang2
837 tʱɑŋ˩ tang2
838 lɑŋ˩ lang2
839 tɑŋ dang1
840 tsʰɑŋ cang1
841 kɑŋ gang1
842 sɑŋ sang1
843 kʰɑŋ kang1
844 hwɑŋ huang1
845 ɦwɑŋ˩ huang2
846 kwɑŋ guang1
847 tʰɑŋ tang1
848 pʰɑŋ pang1
849 ʔwɑŋ wang1
850 ʔɑŋ ang1
851 hɑŋ hang1
852 ɦɑŋ˩ hang2
853 mɑŋ˩ mang2
854 tsɑŋ zang1
855 nɑŋ˩ nang2
856 pʱɑŋ˩ pang2
857 ŋɑŋ˩ ang2
858 tsʱɑŋ˩ cang2
859 kʰwɑŋ kuang1
860 pɑŋ bang1
861 kəŋ/kiŋ geng1
862 kʰəŋ keng1
863 məŋ˩ meng2
864 ɦwəŋ˩ hong2
865 pəŋ beng1
866 hwəŋ hong1
867 kwəŋ gong1
868 pʱəŋ˩ peng2
869 həŋ heng1
870 ʈʂʰəŋ cheng1
871 ʈʂʰəŋ cheng1
872 ʈʂʱəŋ˩ cheng2
873 ʔiŋ ying1
874 pʰiŋ ping1
875 pʱiŋ˩ ping2
876 kiŋ jing1
877 miŋ˩ ming2
878 ʈʂʱəŋ˩ cheng2
879 ʈʂəŋ zheng1
880 jyuəŋ˩ yong2
881 piŋ bing1
882 hyuəŋ xiong1
883 kʰiŋ qing1
884 ʂəŋ sheng1
885 kʱiŋ˩ qing2
886 jiŋ˩ ying2
887 ɦiŋ˩ heng2
888 nəŋ˩ neng2
889 kəŋ/kiŋ geng1
890 kʰəŋ keng1
891 məŋ˩ meng2
892 pəŋ beng1
893 ɦwəŋ˩ hong2
894 ɦiŋ˩ heng2
895 ʈʂəŋ zheng1
896 ʔiŋ eng1
