#序號 古韻 有女 Baxter
275 dryo diu drju
276 kyo kiu kju
277 sryo shu srju
278 mo mu mu
279 bo bu bu
280 gho hu hu
281 ko ku ku
282 do du du
283 no nu nu
284 ho xu xu
285 ngo ngu ngu
286 co zu tsu
287 lo lu lu
288 so su su
289 zo dzu dzu
290 qo u 'u
291 po pu pu
292 kho qu khu
293 cho cu tshu
294 tho thu thu
295 to tu tu
296 pho phu phu
297 ze dzei dzej
298 le lei lej
299 che cei tshej
300 te tei tej
301 de dei dej
302 pe pei pej
303 ke kei kej
304 ghe hei hej
305 qe ei 'ej
306 nge ngei ngej
307 he xei xej
308 se sei sej
309 the thei thej
310 be bei bej
311 phe phei phej
312 ce zei tsej
313 me mei mej
314 ne nei nej
315 khe qei khej
316 kue kuei kwej
317 khue quei khwej
318 ghue huei hwej
319 nj'e rei nyej
320 zj'e zjei dzyej
321 que uei 'wej
322 hue xuei xwej
323 kre kae kea
324 ghre hae hea
325 bre bae bea
326 krue koe kwea
327 qrue oe 'wea
328 khrue qoe khwea
329 zre drae dzrea
330 chre chae tsrhea
331 hrue xoe xwea
332 nre nae nrea
333 ngre ngae ngea
334 qre ae 'ea
335 sre shae srea
336 hre xae xea
337 thre thae trhea
338 mre mae mea
339 ghrue hoe hwea
340 krai kaei keaj
341 qrai aei 'eaj
342 ghrai haei heaj
343 brai baei beaj
344 kruai koei kweaj
345 ghruai hoei hweaj
346 khruai qoei khweaj
347 zrai draei dzreaj
348 chrai chaei tsrheaj
349 hruai xoei xweaj
350 druai doei drweaj
351 mrai maei meaj
352 crai traei tsreaj
353 qruai oei 'weaj
354 trai taei treaj
355 lrai laei leaj
356 khrai qaei kheaj
357 nrai naei nreaj
358 srai shaei sreaj
359 ngrai ngaei ngeaj
360 thrai thaei trheaj
361 hrai xaei xeaj
362 lruai loei lweaj
363 zruai droei dzrweaj
364 huai xuoi xwoj
365 khuai quoi khwoj
366 quai uoi 'woj
367 ghuai huoi hwoj
368 muai muoi mwoj
369 kuai kuoi kwoj
370 luai luoi lwoj
371 duai duoi dwoj
372 chuai cuoi tshwoj
373 tuai tuoi twoj
374 suai suoi swoj
375 zuai dzuoi dzwoj
376 buai buoi bwoj
377 puai puoi pwoj
378 phuai phuoi phwoj
379 nguai nguoi ngwoj
380 thuai thuoi thwoj
381 nuai nuoi nwoj
382 cuai zuoi tswoj
383 hai xoi xoj
384 khai qoi khoj
385 qai oi 'oj
386 dai doi doj
387 kai koi koj
388 zai dzoi dzoj
389 lai loi loj
390 cai zoi tsoj
391 chai coi tshoj
392 bai boi boj
393 thai thoi thoj
394 ghai hoi hoj
395 sai soi soj
396 ngai ngoi ngoj
397 nai noi noj
398 tai toi toj
399 chj'ai tcoi tsyhoj
400 phai phoi phoj
401 cjin tjin tsyin
402 thrin thyn trhin
403 qjin in 'jin
404 sin sin sin
405 zjin zjin dzyin
406 njin rin nyin
407 zsjin djin zyin
408 chin cin tshin
409 in hyn hin
410 sjin sjin syin
411 pjin pin pjin
412 lin lin lin
413 gin gyn gin
414 trin tyn trin
415 drin dyn drin
416 cin zin tsin
417 chjin tcin tsyhin
418 zin dzin dzin
419 jin jin yin
420 nrin nyn nrin
421 phjin phin phjin
422 bjin bin bjin
423 ngin ngyn ngin
424 kin kyn kin
425 kyn kwyn kwin
426 yn hwyn hwin
