#小韻序 字 聲調 韻部 聲紐 韻母 四呼
103 郎榔廊螂稂浪琅狼 陽平 江陽 來 江陽開 開口
104 杭行頏航 陽平 江陽 曉 江陽開 開口
105 昂卬 陽平 江陽 疑 江陽開 開口
106 床幢撞淙 陽平 江陽 穿 江陽合 合口
107 傍旁房龐逄 陽平 江陽 滂 江陽開 開口
108 房防 陽平 江陽 非 江陽開 開口
109 長萇膓塲常裳嘗償 陽平 江陽 穿 江陽開 開口
110 唐榶塘糖堂棠 陽平 江陽 透 江陽開 開口
111 祥詳翔 陽平 江陽 心 江陽齊 齊齒
112 牆檣嬙戕 陽平 江陽 清 江陽齊 齊齒
113 黃璜簧艎蝗皇篁凰惶遑隍 陽平 江陽 曉 江陽合 合口
114 藏 陽平 江陽 清 江陽開 開口
115 強 陽平 江陽 溪 江陽齊 齊齒
116 娘 陽平 江陽 泥 江陽齊 齊齒
117 降 陽平 江陽 曉 江陽齊 齊齒
118 王 陽平 江陽 影 江陽合 合口
119 狂 陽平 江陽 溪 江陽合 合口
120 囊 陽平 江陽 泥 江陽開 開口
121 講港鏹 上 江陽 見 江陽齊 齊齒
122 養痒鞅 上 江陽 影 江陽齊 齊齒
123 蔣獎槳 上 江陽 精 江陽齊 齊齒
124 兩魎 上 江陽 來 江陽齊 齊齒
125 想鯗 上 江陽 心 江陽齊 齊齒
126 蟒莽漭 上 江陽 明 江陽開 開口
127 爽漺 上 江陽 審 江陽合 合口
128 響蠁享饗夯 上 江陽 曉 江陽齊 齊齒
129 敞氅昶 上 江陽 穿 江陽開 開口
130 壤穰 上 江陽 日 江陽開 開口
131 舫倣放訪昉 上 江陽 非 江陽開 開口
132 罔網輞 上 江陽 微 江陽合 合口
133 枉往 上 江陽 影 江陽合 合口
134 顙磉嗓 上 江陽 心 江陽開 開口
135 榜挷 上 江陽 幫 江陽開 開口
136 倘帑 上 江陽 透 江陽開 開口
137 黨讜 上 江陽 端 江陽開 開口
138 掌長 上 江陽 照 江陽開 開口
139 朗 上 江陽 來 江陽開 開口
140 謊恍 上 江陽 曉 江陽合 合口
141 仰 上 江陽 疑 江陽齊 齊齒
142 廣 上 江陽 見 江陽合 合口
143 沆 上 江陽 曉 江陽開 開口
144 髒 上 江陽 精 江陽開 開口
145 強 上 江陽 溪 江陽齊 齊齒
146 搶 上 江陽 清 江陽齊 齊齒
147 賞晌 上 江陽 審 江陽開 開口
148 絳降洚虹糨強 去 江陽 見 江陽齊 齊齒
149 象像相 去 江陽 心 江陽齊 齊齒
150 亮諒量緉輛 去 江陽 來 江陽齊 齊齒
151 瀁羕煬養樣怏䬬漾恙 去 江陽 影 江陽齊 齊齒
152 狀壯撞 去 江陽 照 江陽合 合口
153 上尚餉 去 江陽 審 江陽開 開口
154 讓懹饟 去 江陽 日 江陽開 開口
155 帳脹漲丈仗杖障瘴嶂 去 江陽 照 江陽開 開口
156 巷向項 去 江陽 曉 江陽齊 齊齒
157 匠將醬 去 江陽 精 江陽齊 齊齒
158 唱倡暢悵鬯 去 江陽 穿 江陽開 開口
159 創剏 去 江陽 穿 江陽合 合口
160 望忘妄 去 江陽 微 江陽合 合口
161 旺王 去 江陽 影 江陽合 合口
162 放訪 去 江陽 非 江陽開 開口
163 蕩宕碭當擋 去 江陽 端 江陽開 開口
164 浪閬 去 江陽 來 江陽開 開口
165 葬藏戅 去 江陽 精 江陽開 開口
166 謗傍蚌棒 去 江陽 幫 江陽開 開口
167 炕亢抗 去 江陽 溪 江陽開 開口
168 曠壙纊 去 江陽 溪 江陽合 合口
169 晃幌 去 江陽 曉 江陽合 合口
170 况貺 去 江陽 曉 江陽合 合口
171 釀 去 江陽 泥 江陽齊 齊齒
172 仰 去 江陽 疑 江陽齊 齊齒
173 喪 去 江陽 心 江陽開 開口
174 胖 去 江陽 滂 江陽開 開口
175 行 去 江陽 曉 江陽開 開口
176 愴 去 江陽 清 江陽開 開口
177 誑 去 江陽 影 江陽合 合口
178 盎 去 江陽 影 江陽開 開口
179 戧 去 江陽 清 江陽齊 齊齒
180 鋼 去 江陽 見 江陽開 開口
181 盪湯 去 江陽 透 江陽開 開口
182 支枝肢巵氏梔榰之芝脂胝 陰平 支思 照 支思開 開口
183 髭貲觜兹孳孜滋資咨淄諮姿耔 陰平 支思 精 支思開 開口
184 眵𥉍差 陰平 支思 穿 支思開 開口
185 施詩師獅螄尸屍鳲蓍 陰平 支思 審 支思開 開口
186 斯撕厮澌鷥颸思司私絲偲罳 陰平 支思 心 支思開 開口
187 雌 陰平 支思 清 支思開 開口
188 兒而洏 陽平 支思 日 支思開 開口
189 慈鶿磁兹餈茨疵玼茈 陽平 支思 清 支思開 開口
190 時𤨅鰣匙 陽平 支思 審 支思開 開口
191 詞祠辭辤 陽平 支思 清 支思開 開口
192 紙砥厎旨指止沚芷趾祉阯址徵咫 上 支思 照 支思開 開口
193 爾邇耳餌珥駬 上 支思 日 支思開 開口
194 此玼跐泚 上 支思 清 支思開 開口
195 史駛使弛豕矢始屎𦳊 上 支思 審 支思開 開口
196 子紫姊梓 上 支思 精 支思開 開口
197 死 上 支思 心 支思開 開口
198 齒仔 上 支思 穿 支思開 開口
199 澀瑟 入上 支思 審 支思開 開口
200 塞 入上 支思 心 支思開 開口
201 是氏市柿侍士仕使示諡蒔恃事施嗜豉試弑筮視噬 去 支思 審 支思開 開口
202 似兕賜姒巳汜嗣飼笥耜涘俟寺食思四肆泗駟 去 支思 心 支思開 開口
203 次刺剚 去 支思 清 支思開 開口
204 字漬牸自恣骴胔 去 支思 精 支思開 開口
205 志誌至 去 支思 照 支思開 開口
206 二貳餌 去 支思 日 支思開 開口
207 翅廁 去 支思 穿 支思開 開口
208 機幾磯璣譏肌飢笄朞箕基雞稽饑姬奇羈羇 陰平 齊微 見 齊微齊 齊齒
209 歸圭邽龜閨規 陰平 齊微 見 齊微合 合口
210 虀齊擠躋 陰平 齊微 精 齊微齊 齊齒
211 雖荽綏睢尿 陰平 齊微 心 齊微合 合口
212 邸觝殫弤氐底 陰平 齊微 端 齊微齊 齊齒
213 妻凄萋悽棲 陰平 齊微 清 齊微齊 齊齒
214 西犀嘶 陰平 齊微 心 齊微齊 齊齒
215 灰揮暉輝翬麾徽虺 陰平 齊微 曉 齊微合 合口
216 杯悲卑碑陂 陰平 齊微 幫 齊微合 合口
217 追騅錐 陰平 齊微 照 齊微合 合口
218 威偎隈煨 陰平 齊微 影 齊微合 合口
219 非扉俳霏騑誹菲妃飛 陰平 齊微 非 齊微齊 齊齒
220 溪欺欹 陰平 齊微 溪 齊微齊 齊齒
221 希稀晞羲犧曦醯熹嘻僖熙 陰平 齊微 曉 齊微齊 齊齒
222 衣依伊醫鷖漪猗臆 陰平 齊微 影 齊微齊 齊齒
223 吹炊推 陰平 齊微 穿 齊微合 合口
224 醅披邳丕呸胚䋔 陰平 齊微 滂 齊微合 合口
225 魁盔虧窺瑰奎 陰平 齊微 溪 齊微合 合口
226 笞癡郗蚩媸螭鴟絺 陰平 齊微 穿 齊微齊 齊齒
227 崔催衰榱 陰平 齊微 清 齊微合 合口
228 紕批鈚 陰平 齊微 滂 齊微齊 齊齒
229 堆䭔 陰平 齊微 端 齊微合 合口
230 篦鎞 陰平 齊微 幫 齊微齊 齊齒
231 知蜘 陰平 齊微 照 齊微齊 齊齒
232 梯 陰平 齊微 透 齊微齊 齊齒
233 微薇維惟 陽平 齊微 微 齊微合 合口
234 黎黧犁棃蔾瓈離璃蘺醨䍦离鸝驪麗狸蜊釐𩭇漓 陽平 齊微 來 齊微齊 齊齒
235 泥尼臡 陽平 齊微 泥 齊微齊 齊齒
236 梅莓枚媒煤眉湄楣嵋糜縻醿塺 陽平 齊微 明 齊微合 合口
237 雷檑纍罍羸 陽平 齊微 來 齊微合 合口
238 隋隨 陽平 齊微 心 齊微合 合口
239 齊臍 陽平 齊微 清 齊微齊 齊齒
240 回徊迴 陽平 齊微 曉 齊微合 合口
241 圍闈韋幃違嵬巍危桅爲 陽平 齊微 影 齊微合 合口
242 肥淝 陽平 齊微 非 齊微齊 齊齒
243 奇騎琦祺萁期旗旂棊祈祁其畿祇耆鬐芪岐麒琪蘄 陽平 齊微 溪 齊微齊 齊齒
244 奚兮畦携蹊 陽平 齊微 曉 齊微齊 齊齒
245 移扅兒鯢霓倪猊輗姨夷荑疑嶷鷖沂宜儀䴊彝貽怡眙飴圯頤遺蛇 陽平 齊微 影 齊微齊 齊齒
246 啼蹄提題醍綈稊 陽平 齊微 透 齊微齊 齊齒
247 鎚垂陲 陽平 齊微 穿 齊微合 合口
248 裴陪培皮 陽平 齊微 滂 齊微合 合口
249 葵馗夔逵 陽平 齊微 溪 齊微合 合口
250 池馳遲墀篪持 陽平 齊微 穿 齊微齊 齊齒
251 頹魋 陽平 齊微 透 齊微合 合口
252 脾疲比毗羆 陽平 齊微 滂 齊微齊 齊齒
253 迷䌤彌 陽平 齊微 明 齊微齊 齊齒
254 誰 陽平 齊微 審 齊微合 合口
255 摧 陽平 齊微 清 齊微合 合口
256 蕤 陽平 齊微 日 齊微合 合口
257 實十什石射食蝕拾 入平 齊微 審 齊微齊 齊齒
258 直值姪秩擲 入平 齊微 照 齊微齊 齊齒
259 疾嫉葺集寂 入平 齊微 精 齊微齊 齊齒
260 夕昔席襲 入平 齊微 心 齊微齊 齊齒
261 荻狄敵逖苖糴 入平 齊微 端 齊微齊 齊齒
262 及極 入平 齊微 見 齊微齊 齊齒
263 惑 入平 齊微 曉 齊微合 合口
264 逼 入平 齊微 幫 齊微合 合口
265 劾 入平 齊微 曉 齊微開 開口
266 賊 入平 齊微 精 齊微開 開口
267 鼻 陽平 齊微 幫 齊微齊 齊齒
268 迤婍 上 齊微 影 齊微齊 齊齒
269 尾亹 上 齊微 微 齊微合 合口
270 倚椅錡扆偯蟻矣已以苡顗擬艤 上 齊微 影 齊微齊 齊齒
271 浼美 上 齊微 明 齊微合 合口
272 蟣幾己几麂紀 上 齊微 見 齊微齊 齊齒
273 耻侈 上 齊微 穿 齊微齊 齊齒
274 捶箠 上 齊微 照 齊微合 合口
275 痞否嚭圮秕 上 齊微 滂 齊微合 合口
276 鬼簋癸軌詭晷宄 上 齊微 見 齊微合 合口
277 悔賄毀卉譭燬虺 上 齊微 曉 齊微合 合口
278 妣比匕 上 齊微 幫 齊微齊 齊齒
279 禮醴里裏理鯉娌李蠡履 上 齊微 來 齊微齊 齊齒
280 濟擠 上 齊微 精 齊微齊 齊齒
281 底邸詆柢胝 上 齊微 端 齊微齊 齊齒
282 洗璽枲徙屣 上 齊微 心 齊微齊 齊齒
283 起棨啓綮綺杞豈 上 齊微 溪 齊微齊 齊齒
284 米弭眯 上 齊微 明 齊微齊 齊齒
285 伱旎禰 上 齊微 泥 齊微齊 齊齒
286 彼鄙 上 齊微 幫 齊微合 合口
287 喜蟢 上 齊微 曉 齊微齊 齊齒
288 委猥唯隗葦偉 上 齊微 影 齊微合 合口
289 壘磊儡蕾 上 齊微 來 齊微合 合口
290 體 上 齊微 透 齊微齊 齊齒
291 腿 上 齊微 透 齊微合 合口
292 蕊 上 齊微 日 齊微合 合口
293 觜 上 齊微 精 齊微合 合口
294 髓 上 齊微 心 齊微合 合口
295 水 上 齊微 審 齊微合 合口
296 餒 上 齊微 泥 齊微合 合口
297 質隻炙織陟汁只 入上 齊微 照 齊微齊 齊齒
298 七戚漆刺 入上 齊微 清 齊微齊 齊齒
299 匹闢僻 入上 齊微 滂 齊微齊 齊齒
300 吉擊激極棘戟急汲給 入上 齊微 見 齊微齊 齊齒
301 筆北 入上 齊微 幫 齊微合 合口
302 失室適拭軾飾釋濕𥈜 入上 齊微 審 齊微齊 齊齒
303 唧積稷績跡脊鯽 入上 齊微 精 齊微齊 齊齒
304 鞞畢蹕蓽碧壁璧甓 入上 齊微 幫 齊微齊 齊齒
305 昔惜息錫淅 入上 齊微 心 齊微齊 齊齒
306 尺赤勅喫叱鶒 入上 齊微 穿 齊微齊 齊齒
307 的靮嫡滴 入上 齊微 端 齊微齊 齊齒
308 德得 入上 齊微 端 齊微開 開口
309 滌剔踢 入上 齊微 透 齊微齊 齊齒
310 吸隙翕檄覡 入上 齊微 曉 齊微齊 齊齒
311 乞泣訖 入上 齊微 溪 齊微齊 齊齒
312 國 入上 齊微 見 齊微合 合口
313 黑 入上 齊微 曉 齊微開 開口
314 一 入上 齊微 影 齊微齊 齊齒
315 未味 去 齊微 微 齊微合 合口
316 胃蝟渭謂𩤸尉慰緯穢衛魏畏餧位飫 去 齊微 影 齊微合 合口
317 貴櫃餽愧悸桂檜膾鱠跪獪繪 去 齊微 見 齊微合 合口
318 吠沸費肺廢芾 去 齊微 非 齊微齊 齊齒
319 會悔誨諱惠蕙慧潰闠 去 齊微 曉 齊微合 合口
320 翠脆顇倅萃粹淬悴 去 齊微 清 齊微合 合口
321 異裔義議誼毅藝易翳瘞勩枻曳翳詣饐刈乂意劓懿 去 齊微 影 齊微齊 齊齒
322 氣器棄憩契禊 去 齊微 溪 齊微齊 齊齒
323 霽濟祭際劑 去 齊微 精 齊微齊 齊齒
324 替剃涕嚏 去 齊微 透 齊微齊 齊齒
325 帝諦締弟娣第睇地遞蔕棣 去 齊微 端 齊微齊 齊齒
326 背貝狽焙倍婢備避輩被臂幣譬髲詖帔 去 齊微 幫 齊微合 合口
327 利痢莉俐例唳戾洌離隷癘莅荔詈劙麗 去 齊微 來 齊微齊 齊齒
328 砌妻 去 齊微 清 齊微齊 齊齒
329 細壻 去 齊微 心 齊微齊 齊齒
330 罪醉最 去 齊微 精 齊微合 合口
331 對隊碓兌 去 齊微 端 齊微合 合口
332 計記寄繫繼妓忮技髻偈忌季縊騎既驥冀薊鱖 去 齊微 見 齊微齊 齊齒
333 閉蔽畀笓斃嬖庇比秘陛賁 去 齊微 幫 齊微齊 齊齒
334 謎汆 去 齊微 明 齊微齊 齊齒
335 睡稅說瑞 去 齊微 審 齊微合 合口
336 退蛻 去 齊微 透 齊微合 合口
337 歲碎粹祟邃繸穗燧隧遂彗 去 齊微 心 齊微合 合口
338 墜贅綴縋懟 去 齊微 照 齊微合 合口
339 製制置滯雉稚致彘治智幟熾質 去 齊微 照 齊微齊 齊齒
340 世勢逝誓 去 齊微 審 齊微齊 齊齒
341 淚累酹擂類纇誄耒磑 去 齊微 來 齊微合 合口
342 配佩珮霈沛悖誖 去 齊微 滂 齊微合 合口
343 妹昧媚魅袂瑁寐 去 齊微 明 齊微合 合口
344 戲系係 去 齊微 曉 齊微齊 齊齒
345 簣蕢揆 去 齊微 溪 齊微合 合口
346 殢膩泥 去 齊微 泥 齊微齊 齊齒
347 蚋芮銳蜹 去 齊微 日 齊微合 合口
348 吠喙 去 齊微 穿 齊微合 合口
349 内 去 齊微 泥 齊微合 合口
350 日入 入去 齊微 日 齊微齊 齊齒
351 覓蜜 入去 齊微 明 齊微齊 齊齒
