#小韻序 字 聲調 韻部 聲紐 韻母 四呼
460 鋸懼句據詎巨拒秬距炬苣踞屨絇具 去 魚模 見 魚模撮 撮口
461 恕庶樹戍豎署曙 去 魚模 審 魚模撮 撮口
462 覰趣娶 去 魚模 清 魚模撮 撮口
463 注澍住著柱註鑄馵炷駐紵苧貯竚 去 魚模 照 魚模撮 撮口
464 數疏 去 魚模 審 魚模合 合口
465 絮序敍緒 去 魚模 心 魚模撮 撮口
466 孺茹 去 魚模 日 魚模撮 撮口
467 杜妬肚渡鍍斁度蠹 去 魚模 端 魚模合 合口
468 赴父釜輔付賦傅富仆鮒賻訃拊婦附阜負 去 魚模 非 魚模合 合口
469 戶扈護瓠互戽頀岵怙 去 魚模 曉 魚模合 合口
470 務霧鶩戊 去 魚模 微 魚模合 合口
471 素訴塑遡泝嗉 去 魚模 心 魚模合 合口
472 暮慕墓募 去 魚模 明 魚模合 合口
473 路潞鷺輅露賂 去 魚模 來 魚模合 合口
474 故錮固顧雇 去 魚模 見 魚模合 合口
475 誤悮悟寤惡汙 去 魚模 影 魚模合 合口
476 布怖佈部簿哺捕步 去 魚模 幫 魚模合 合口
477 醋措錯 去 魚模 清 魚模合 合口
478 做祚胙詛 去 魚模 精 魚模合 合口
479 兔吐 去 魚模 透 魚模合 合口
480 怒 去 魚模 泥 魚模合 合口
481 鋪 去 魚模 滂 魚模合 合口
482 處 去 魚模 穿 魚模合 合口
483 去 去 魚模 溪 魚模撮 撮口
484 聚 去 魚模 精 魚模撮 撮口
485 助 去 魚模 照 魚模合 合口
486 祿鹿漉麓 入去 魚模 來 魚模合 合口
487 木沐穆睦沒牧目鶩 入去 魚模 明 魚模合 合口
488 錄籙綠醁陸戮律 入去 魚模 來 魚模撮 撮口
489 物勿 入去 魚模 微 魚模合 合口
490 辱褥入 入去 魚模 日 魚模撮 撮口
491 玉獄欲浴郁育鵒 入去 魚模 影 魚模撮 撮口
492 訥 入去 魚模 泥 魚模合 合口
493 皆堦階喈街偕稭楷 陰平 皆來 見 皆來齊 齊齒
494 該垓荄陔 陰平 皆來 見 皆來開 開口
495 哉栽災 陰平 皆來 精 皆來開 開口
496 釵差 陰平 皆來 穿 皆來開 開口
497 台胎駘咍邰 陰平 皆來 透 皆來開 開口
498 哀挨唉 陰平 皆來 影 皆來開 開口
499 猜 陰平 皆來 清 皆來開 開口
500 挨 陰平 皆來 影 皆來齊 齊齒
501 衰 陰平 皆來 審 皆來合 合口
502 腮 陰平 皆來 心 皆來開 開口
503 歪 陰平 皆來 影 皆來合 合口
504 開 陰平 皆來 溪 皆來開 開口
505 揩 陰平 皆來 溪 皆來齊 齊齒
506 齋 陰平 皆來 照 皆來開 開口
507 乖 陰平 皆來 見 皆來合 合口
508 篩 陰平 皆來 審 皆來開 開口
509 揣 陰平 皆來 穿 皆來合 合口
510 來萊騋 陽平 皆來 來 皆來開 開口
511 鞋諧骸 陽平 皆來 曉 皆來齊 齊齒
512 排牌𥱼俾 陽平 皆來 滂 皆來開 開口
513 懷淮槐𧞷瀤 陽平 皆來 曉 皆來合 合口
514 埋霾 陽平 皆來 明 皆來開 開口
515 騃皚 陽平 皆來 疑 皆來開 開口
516 孩頦 陽平 皆來 曉 皆來開 開口
517 柴祡豺儕 陽平 皆來 穿 皆來開 開口
518 崖厓捱 陽平 皆來 影 皆來齊 齊齒
519 才材財裁纔 陽平 皆來 清 皆來開 開口
520 臺薹擡儓苔炱籉 陽平 皆來 透 皆來開 開口
521 能 陽平 皆來 泥 皆來開 開口
522 白帛舶 入平 皆來 幫 皆來開 開口
523 宅𤢟澤擇 入平 皆來 照 皆來開 開口
524 畫劃 入平 皆來 曉 皆來合 合口
525 海醢 上 皆來 曉 皆來開 開口
526 靆詒紿 上 皆來 端 皆來開 開口
527 駭蟹 上 皆來 曉 皆來齊 齊齒
528 宰載 上 皆來 精 皆來開 開口
529 采彩採寀綵 上 皆來 清 皆來開 開口
530 靄藹乃毐 上 皆來 影 皆來開 開口
531 奶乃 上 皆來 泥 皆來開 開口
532 蒯拐夬 上 皆來 見 皆來合 合口
533 凱鎧塏 上 皆來 溪 皆來開 開口
534 揣 上 皆來 穿 皆來合 合口
535 擺 上 皆來 幫 皆來開 開口
536 矮 上 皆來 影 皆來開 開口
537 解 上 皆來 見 皆來齊 齊齒
538 楷 上 皆來 溪 皆來齊 齊齒
539 買 上 皆來 明 皆來開 開口
540 改 上 皆來 見 皆來開 開口
541 拍珀魄 入上 皆來 滂 皆來開 開口
542 策冊柵測跚 入上 皆來 穿 皆來開 開口
543 伯百栢迫擘檗 入上 皆來 幫 皆來開 開口
544 骼革隔格 入上 皆來 見 皆來齊 齊齒
545 客刻 入上 皆來 溪 皆來齊 齊齒
546 責幘摘謫側窄仄昃簀迮 入上 皆來 照 皆來開 開口
547 色穡索 入上 皆來 審 皆來開 開口
548 摑 入上 皆來 見 皆來合 合口
549 摔 入上 皆來 審 皆來合 合口
550 嚇 入上 皆來 曉 皆來齊 齊齒
551 則 入上 皆來 精 皆來開 開口
552 懈械薤解獬 去 皆來 曉 皆來齊 齊齒
553 寨豸瘵債蠆眦 去 皆來 照 皆來開 開口
554 態泰太汰 去 皆來 透 皆來開 開口
555 蓋丐 去 皆來 見 皆來開 開口
556 艾愛噫餲 去 皆來 影 皆來開 開口
557 捱隘阨搤 去 皆來 影 皆來齊 齊齒
558 柰奈耐鼐 去 皆來 泥 皆來開 開口
559 害亥妎 去 皆來 曉 皆來開 開口
560 帶戴怠迨待代袋大黛岱 去 皆來 端 皆來開 開口
561 戒誡廨解界介芥疥屆玠犗恝 去 皆來 見 皆來齊 齊齒
562 外瞶 去 皆來 影 皆來合 合口
563 快噲塊 去 皆來 溪 皆來合 合口
564 在再載 去 皆來 精 皆來開 開口
565 賣邁 去 皆來 明 皆來開 開口
566 賴籟瀨賚癩 去 皆來 來 皆來開 開口
567 拜湃敗憊稗 去 皆來 幫 皆來開 開口
568 菜蔡 去 皆來 清 皆來開 開口
569 曬灑煞鎩 去 皆來 審 皆來開 開口
570 賽塞 去 皆來 心 皆來開 開口
571 怪 去 皆來 見 皆來合 合口
572 壞 去 皆來 曉 皆來合 合口
573 慨 去 皆來 溪 皆來開 開口
574 派 去 皆來 滂 皆來開 開口
575 帥率 去 皆來 審 皆來合 合口
576 瀣 去 皆來 溪 皆來齊 齊齒
577 麥貊陌驀脉 入去 皆來 明 皆來開 開口
578 額厄峉䩹 入去 皆來 影 皆來齊 齊齒
579 搦 入去 皆來 泥 皆來開 開口
580 分紛芬氛汾 陰平 真文 非 真文開 開口
581 昏惛婚葷閽 陰平 真文 曉 真文合 合口
582 因姻茵湮殷闉 陰平 真文 影 真文齊 齊齒
583 申紳伸身 陰平 真文 審 真文齊 齊齒
584 嗔瞋 陰平 真文 穿 真文齊 齊齒
585 春椿 陰平 真文 穿 真文撮 撮口
586 詢荀 陰平 真文 心 真文撮 撮口
587 吞 陰平 真文 透 真文開 開口
588 暾 陰平 真文 透 真文合 合口
589 諄迍 陰平 真文 照 真文撮 撮口
590 逡皴 陰平 真文 清 真文撮 撮口
591 根跟 陰平 真文 見 真文開 開口
592 欣忻昕 陰平 真文 曉 真文齊 齊齒
593 氳熅 陰平 真文 影 真文撮 撮口
594 真珍振甄 陰平 真文 照 真文齊 齊齒
595 新薪辛 陰平 真文 心 真文齊 齊齒
596 賓濱鑌彬 陰平 真文 幫 真文齊 齊齒
597 坤髡 陰平 真文 溪 真文合 合口
598 君麏軍皸均鈞 陰平 真文 見 真文撮 撮口
599 榛臻 陰平 真文 照 真文開 開口
600 莘詵 陰平 真文 審 真文開 開口
601 薰醺勳曛燻 陰平 真文 曉 真文撮 撮口
602 鯤鵾裩昆 陰平 真文 見 真文合 合口
603 溫瘟 陰平 真文 影 真文合 合口
604 孫飧蓀猻 陰平 真文 心 真文合 合口
605 尊樽 陰平 真文 精 真文合 合口
606 敦墩燉 陰平 真文 端 真文合 合口
607 奔賁犇 陰平 真文 幫 真文開 開口
608 巾斤筋 陰平 真文 見 真文齊 齊齒
609 村 陰平 真文 清 真文合 合口
610 親 陰平 真文 清 真文齊 齊齒
611 遵 陰平 真文 精 真文合 合口
612 恩 陰平 真文 影 真文開 開口
613 噴 陰平 真文 滂 真文開 開口
614 哏 陰平 真文 溪 真文開 開口
615 津 陰平 真文 精 真文齊 齊齒
616 隣燐鱗磷麟粼轔 陽平 真文 來 真文齊 齊齒
617 貧瀕頻蘋顰嚬 陽平 真文 滂 真文齊 齊齒
618 民珉緡旻 陽平 真文 明 真文齊 齊齒
619 人仁 陽平 真文 日 真文齊 齊齒
620 倫綸掄輪淪 陽平 真文 來 真文撮 撮口
621 裙羣 陽平 真文 溪 真文撮 撮口
622 勤懃芹 陽平 真文 溪 真文齊 齊齒
623 門捫 陽平 真文 明 真文開 開口
624 論崙 陽平 真文 來 真文合 合口
625 文紋聞蚊 陽平 真文 微 真文開 開口
626 銀誾齦垠寅夤嚚鄞 陽平 真文 影 真文齊 齊齒
627 盆湓 陽平 真文 滂 真文開 開口
628 陳臣塵娠辰晨宸 陽平 真文 穿 真文齊 齊齒
629 秦𥱧 陽平 真文 清 真文齊 齊齒
630 唇蓴淳純醇錞鶉 陽平 真文 穿 真文撮 撮口
631 巡旬馴循 陽平 真文 心 真文撮 撮口
632 雲芸云紜耘勻員筠 陽平 真文 影 真文撮 撮口
633 墳焚棼 陽平 真文 非 真文開 開口
634 魂渾 陽平 真文 曉 真文合 合口
635 豚屯飩臀 陽平 真文 透 真文合 合口
636 神 陽平 真文 審 真文齊 齊齒
637 存蹲 陽平 真文 清 真文合 合口
638 痕 陽平 真文 曉 真文開 開口
639 紉 陽平 真文 泥 真文齊 齊齒
640 軫疹診稹 上 真文 照 真文齊 齊齒
641 肯懇墾齦 上 真文 溪 真文開 開口
642 緊謹槿卺瑾 上 真文 見 真文齊 齊齒
643 隱引蚓尹 上 真文 影 真文齊 齊齒
644 閔憫泯愍敏 上 真文 明 真文齊 齊齒
645 准準 上 真文 照 真文撮 撮口
646 刎吻 上 真文 微 真文開 開口
647 筍隼 上 真文 心 真文撮 撮口
648 允殞隕狁 上 真文 影 真文撮 撮口
649 本畚 上 真文 幫 真文開 開口
650 閫壼𠳁悃 上 真文 溪 真文合 合口
651 窘囷 上 真文 溪 真文撮 撮口
652 哂蜃 上 真文 審 真文齊 齊齒
653 牝品 上 真文 滂 真文齊 齊齒
654 狠 上 真文 曉 真文開 開口
655 𣎴 上 真文 影 真文開 開口
656 忍 上 真文 日 真文齊 齊齒
657 盾 上 真文 端 真文合 合口
658 撙 上 真文 精 真文合 合口
659 損 上 真文 心 真文合 合口
660 蠢 上 真文 穿 真文撮 撮口
661 忖 上 真文 清 真文合 合口
662 粉 上 真文 非 真文開 開口
663 穩 上 真文 影 真文合 合口
664 衮 上 真文 見 真文合 合口
665 瞬 上 真文 審 真文撮 撮口
666 儘 上 真文 精 真文齊 齊齒
667 震陣振賑鎮 去 真文 照 真文齊 齊齒
668 信訊迅贐燼 去 真文 心 真文齊 齊齒
669 刃訒仞認 去 真文 日 真文齊 齊齒
670 吝悋藺磷 去 真文 來 真文齊 齊齒
671 鬢殯臏 去 真文 幫 真文齊 齊齒
672 腎慎 去 真文 審 真文齊 齊齒
673 醞慍運薀惲暈韻 去 真文 影 真文撮 撮口
674 盡晉進璡 去 真文 精 真文齊 齊齒
675 忿分糞奮 去 真文 非 真文開 開口
676 近覲 去 真文 見 真文齊 齊齒
677 襯齔 去 真文 穿 真文開 開口
678 印孕 去 真文 影 真文齊 齊齒
679 峻浚殉噀 去 真文 心 真文撮 撮口
680 遜巽 去 真文 心 真文合 合口
681 俊駿 去 真文 精 真文撮 撮口
682 舜順 去 真文 審 真文撮 撮口
683 閏潤 去 真文 日 真文撮 撮口
684 問紊 去 真文 微 真文開 開口
685 頓囤鈍遁盾沌 去 真文 端 真文合 合口
686 悶懣 去 真文 明 真文開 開口
687 逩倴 去 真文 幫 真文開 開口
688 訓 去 真文 曉 真文撮 撮口
689 郡 去 真文 見 真文撮 撮口
690 困 去 真文 溪 真文合 合口
691 噴 去 真文 滂 真文開 開口
692 釁 去 真文 曉 真文齊 齊齒
693 論 去 真文 來 真文合 合口
694 混 去 真文 曉 真文合 合口
695 寸 去 真文 清 真文合 合口
696 恨 去 真文 曉 真文開 開口
697 嫩 去 真文 泥 真文合 合口
698 褪 去 真文 透 真文合 合口
699 搵諢 去 真文 影 真文合 合口
700 趁疢 去 真文 穿 真文齊 齊齒
701 山刪潸 陰平 寒山 審 寒山開 開口
702 丹單殫鄲簞 陰平 寒山 端 寒山開 開口
703 干竿肝玕乾 陰平 寒山 見 寒山開 開口
704 安鞍 陰平 寒山 影 寒山開 開口
705 姦奸間艱菅 陰平 寒山 見 寒山齊 齊齒
706 刊看 陰平 寒山 溪 寒山開 開口
707 關綸鰥擐 陰平 寒山 見 寒山合 合口
708 𣠯拴 陰平 寒山 審 寒山合 合口
709 斑班般扳頒 陰平 寒山 幫 寒山開 開口
710 彎灣 陰平 寒山 影 寒山合 合口
711 灘攤 陰平 寒山 透 寒山開 開口
712 番蕃翻轓旛藩反 陰平 寒山 非 寒山開 開口
713 珊跚 陰平 寒山 心 寒山開 開口
714 攀 陰平 寒山 滂 寒山開 開口
715 慳 陰平 寒山 溪 寒山齊 齊齒
716 赸 陰平 寒山 穿 寒山開 開口
717 餐 陰平 寒山 清 寒山開 開口
718 跧 陰平 寒山 照 寒山合 合口
719 殷 陰平 寒山 影 寒山齊 齊齒
720 寒邯韓汗翰 陽平 寒山 曉 寒山開 開口
721 闌蘭欄斓襴攔 陽平 寒山 來 寒山開 開口
722 還環鬟寰闤圜鐶 陽平 寒山 曉 寒山合 合口
723 殘戔 陽平 寒山 清 寒山開 開口
724 閑鷴𤺛 陽平 寒山 曉 寒山齊 齊齒
725 壇檀彈 陽平 寒山 透 寒山開 開口
726 煩繁膰礬蠜帆樊凡 陽平 寒山 非 寒山開 開口
727 難 陽平 寒山 泥 寒山開 開口
728 蠻 陽平 寒山 明 寒山開 開口
729 顔 陽平 寒山 影 寒山齊 齊齒
730 潺 陽平 寒山 穿 寒山開 開口
731 頑 陽平 寒山 影 寒山合 合口
732 反返坂 上 寒山 非 寒山開 開口
733 散傘糤 上 寒山 心 寒山開 開口
734 晚挽 上 寒山 微 寒山開 開口
735 板鈑 上 寒山 幫 寒山開 開口
736 簡揀 上 寒山 見 寒山齊 齊齒
737 產鏟剗 上 寒山 穿 寒山開 開口
738 癉亶 上 寒山 端 寒山開 開口
739 赶稈簳 上 寒山 見 寒山開 開口
740 坦袒 上 寒山 透 寒山開 開口
741 罕 上 寒山 曉 寒山開 開口
742 侃 上 寒山 溪 寒山開 開口
743 懶 上 寒山 來 寒山開 開口
744 趲 上 寒山 精 寒山開 開口
745 綰 上 寒山 影 寒山合 合口
746 赧 上 寒山 泥 寒山開 開口
747 盞琖 上 寒山 照 寒山開 開口
748 眼 上 寒山 影 寒山齊 齊齒
749 旱悍銲漢翰瀚汗鼾骭 去 寒山 曉 寒山開 開口
750 旦誕嘽彈憚但 去 寒山 端 寒山開 開口
751 萬蔓曼 去 寒山 微 寒山開 開口
752 嘆炭 去 寒山 透 寒山開 開口
753 案按岸犴旰閈喭 去 寒山 影 寒山開 開口
754 幹榦 去 寒山 見 寒山開 開口
755 粲燦璨 去 寒山 清 寒山開 開口
756 棧綻䋎 去 寒山 照 寒山開 開口
757 盼襻 去 寒山 滂 寒山開 開口
758 譔饌 去 寒山 照 寒山合 合口
759 渲𤅠 去 寒山 審 寒山合 合口
760 慢謾嫚 去 寒山 明 寒山開 開口
761 貫丱摜 去 寒山 見 寒山合 合口
762 贊讚灒瓚酇 去 寒山 精 寒山開 開口
763 患幻宦擐豢 去 寒山 曉 寒山合 合口
764 間澗諫覸 去 寒山 見 寒山齊 齊齒
765 訕疝汕 去 寒山 審 寒山開 開口
766 辦瓣扮絆 去 寒山 幫 寒山開 開口
767 飯販畈範泛范犯 去 寒山 非 寒山開 開口
768 限䦘莧 去 寒山 曉 寒山齊 齊齒
769 雁贋晏鷃 去 寒山 影 寒山齊 齊齒
770 看 去 寒山 溪 寒山開 開口
771 爛 去 寒山 來 寒山開 開口
772 篡 去 寒山 穿 寒山合 合口
773 散 去 寒山 心 寒山開 開口
774 難 去 寒山 泥 寒山開 開口
775 腕 去 寒山 影 寒山合 合口
776 官冠棺觀 陰平 桓歡 見 桓歡合 合口
777 搬般 陰平 桓歡 幫 桓歡合 合口
778 懽讙驩貛獾 陰平 桓歡 曉 桓歡合 合口
779 潘𢬵 陰平 桓歡 滂 桓歡合 合口
780 端耑 陰平 桓歡 端 桓歡合 合口
781 剜豌帵 陰平 桓歡 影 桓歡合 合口
782 酸狻 陰平 桓歡 心 桓歡合 合口
783 寬 陰平 桓歡 溪 桓歡合 合口
784 鑽 陰平 桓歡 精 桓歡合 合口
785 湍 陰平 桓歡 透 桓歡合 合口
786 攛 陰平 桓歡 清 桓歡合 合口
787 鸞鑾巒欒灤圞 陽平 桓歡 來 桓歡合 合口
788 瞞謾縵漫鞔饅𩆓鏝 陽平 桓歡 明 桓歡合 合口
789 桓綄 陽平 桓歡 曉 桓歡合 合口
790 丸刓蚖綄紈完瓛岏 陽平 桓歡 影 桓歡合 合口
791 團摶漙慱 陽平 桓歡 透 桓歡合 合口
792 盤槃瘢磐䰉般鞶媻磻蟠胖弁幋 陽平 桓歡 滂 桓歡合 合口
793 攢穳 陽平 桓歡 清 桓歡合 合口
794 館管痯琯脘 上 桓歡 見 桓歡合 合口
795 纂纘䂎酇 上 桓歡 精 桓歡合 合口
796 款 上 桓歡 溪 桓歡合 合口
797 盥澣 上 桓歡 曉 桓歡合 合口
798 滿懣 上 桓歡 明 桓歡合 合口
799 暖餪 上 桓歡 泥 桓歡合 合口
800 椀 上 桓歡 影 桓歡合 合口
801 疃 上 桓歡 透 桓歡合 合口
802 卵 上 桓歡 來 桓歡合 合口
803 短 上 桓歡 端 桓歡合 合口
804 喚換煥渙緩逭奐 去 桓歡 曉 桓歡合 合口
805 翫玩腕惋 去 桓歡 影 桓歡合 合口
806 鏝幔漫墁 去 桓歡 明 桓歡合 合口
807 竄爨攛躥 去 桓歡 清 桓歡合 合口
808 斷鍛段 去 桓歡 端 桓歡合 合口
809 筭蒜 去 桓歡 心 桓歡合 合口
810 判𢬵 去 桓歡 滂 桓歡合 合口
811 貫冠觀灌祼瓘鸛 去 桓歡 見 桓歡合 合口
812 半伴泮沜畔絆 去 桓歡 幫 桓歡合 合口
813 鑽 去 桓歡 精 桓歡合 合口
814 亂 去 桓歡 來 桓歡合 合口
815 彖 去 桓歡 透 桓歡合 合口
816 愞 去 桓歡 泥 桓歡合 合口
817 先仙躚鮮 陰平 先天 心 先天齊 齊齒
818 煎湔箋韉濺籛 陰平 先天 精 先天齊 齊齒
819 堅肩甄 陰平 先天 見 先天齊 齊齒
820 顛瘨巔 陰平 先天 端 先天齊 齊齒
821 鵑涓娟蠲 陰平 先天 見 先天撮 撮口
822 邊籩編鞭鯿 陰平 先天 幫 先天齊 齊齒
823 喧暄萱塤諠 陰平 先天 曉 先天撮 撮口
824 氈鸇鱣饘邅旃栴 陰平 先天 照 先天齊 齊齒
825 羶扇煽 陰平 先天 審 先天齊 齊齒
826 專磚 陰平 先天 照 先天撮 撮口
827 千阡芊遷韆 陰平 先天 清 先天齊 齊齒
828 軒掀祆 陰平 先天 曉 先天齊 齊齒
829 烟燕胭咽嫣 陰平 先天 影 先天齊 齊齒
830 牽愆褰騫 陰平 先天 溪 先天齊 齊齒
831 篇扁蹁偏翩 陰平 先天 滂 先天齊 齊齒
832 淵冤宛鵷鴛蜿 陰平 先天 影 先天撮 撮口
833 痊詮筌銓悛朘荃 陰平 先天 清 先天撮 撮口
834 宣揎瑄 陰平 先天 心 先天撮 撮口
835 川穿 陰平 先天 穿 先天撮 撮口
836 圈 陰平 先天 溪 先天撮 撮口
837 天 陰平 先天 透 先天齊 齊齒
838 鐫 陰平 先天 精 先天撮 撮口
839 連蓮憐 陽平 先天 來 先天齊 齊齒
840 眠綿 陽平 先天 明 先天齊 齊齒
841 然燃 陽平 先天 日 先天齊 齊齒
842 廛躔纏禪蟬 陽平 先天 穿 先天齊 齊齒
843 前錢 陽平 先天 清 先天齊 齊齒
844 田畋闐填鈿 陽平 先天 透 先天齊 齊齒
845 賢絃弦舷懸 陽平 先天 曉 先天齊 齊齒
846 玄 陽平 先天 曉 先天撮 撮口
847 延筵鋋埏蜒緣妍言研焉沿 陽平 先天 影 先天齊 齊齒
848 乾虔 陽平 先天 溪 先天齊 齊齒
849 元黿圓員捐園圜袁猿轅原嫄源垣鉛鳶湲援 陽平 先天 影 先天撮 撮口
850 全泉 陽平 先天 清 先天撮 撮口
851 旋還璇 陽平 先天 心 先天撮 撮口
852 船傳椽 陽平 先天 穿 先天撮 撮口
853 拳顴權鬈 陽平 先天 溪 先天撮 撮口
854 胼駢軿便 陽平 先天 滂 先天齊 齊齒
855 聯攣 陽平 先天 來 先天撮 撮口
856 年 陽平 先天 泥 先天齊 齊齒
857 涎 陽平 先天 心 先天齊 齊齒
858 遠阮苑畹 上 先天 影 先天撮 撮口
859 兗偃演堰衍鼴 上 先天 影 先天齊 齊齒
860 卷捲 上 先天 見 先天撮 撮口
861 鮮跣洗銑毨筅獮蘚癬 上 先天 心 先天齊 齊齒
862 腆殄沴 上 先天 透 先天齊 齊齒
863 䮿蹇繭筧挸𥀹 上 先天 見 先天齊 齊齒
864 剪翦 上 先天 精 先天齊 齊齒
865 撚輾碾讞 上 先天 泥 先天齊 齊齒
866 輦璉 上 先天 來 先天齊 齊齒
867 臠孌 上 先天 來 先天撮 撮口
868 囀轉 上 先天 照 先天撮 撮口
869 貶扁匾艑緶 上 先天 幫 先天齊 齊齒
870 沔湎黽免冕勉俛眄 上 先天 明 先天齊 齊齒
871 喘舛 上 先天 穿 先天撮 撮口
872 闡蕆 上 先天 穿 先天齊 齊齒
873 典 上 先天 端 先天齊 齊齒
874 顯 上 先天 曉 先天齊 齊齒
875 犬 上 先天 溪 先天撮 撮口
876 淺 上 先天 清 先天齊 齊齒
877 展 上 先天 照 先天齊 齊齒
878 遣 上 先天 溪 先天齊 齊齒
879 吮 上 先天 審 先天撮 撮口
880 軟 上 先天 日 先天撮 撮口
881 選 上 先天 心 先天撮 撮口
882 諞 上 先天 滂 先天齊 齊齒
883 院願愿怨遠援 去 先天 影 先天撮 撮口
884 勸劵 去 先天 溪 先天撮 撮口
885 見建健絹件 去 先天 見 先天齊 齊齒
886 獻現憲縣 去 先天 曉 先天齊 齊齒
887 𩋢眩絢 去 先天 曉 先天撮 撮口
888 電殿甸佃鈿填闐靛奠 去 先天 端 先天齊 齊齒
889 硯燕嚥讌諺堰緣掾宴彥喭嬿 去 先天 影 先天齊 齊齒
890 眷倦圈綣絹狷罥 去 先天 見 先天撮 撮口
891 面麪 去 先天 明 先天齊 齊齒
892 片騙 去 先天 滂 先天齊 齊齒
893 變便遍徧辨辮卞汴弁 去 先天 幫 先天齊 齊齒
894 線羨霰 去 先天 心 先天齊 齊齒
895 釧穿串 去 先天 穿 先天撮 撮口
896 扇善煽鱔禪饍擅墠單 去 先天 審 先天齊 齊齒
897 箭薦煎賤濺餞踐牮 去 先天 精 先天齊 齊齒
898 鏇選旋漩 去 先天 心 先天撮 撮口
899 傳囀轉篆 去 先天 照 先天撮 撮口
900 戰顫纏 去 先天 照 先天齊 齊齒
901 譴牽 去 先天 溪 先天齊 齊齒
902 練煉楝 去 先天 來 先天齊 齊齒
903 戀 去 先天 來 先天撮 撮口
904 蕭簫瀟𢑁𩙚綃消銷宵霄硝蛸痟魈翛 陰平 蕭豪 心 蕭豪齊二 齊齒
905 刁貂琱彫鵰凋 陰平 蕭豪 端 蕭豪齊二 齊齒
906 梟鴞囂枵驍歊 陰平 蕭豪 曉 蕭豪齊二 齊齒
907 梢捎弰筲旓髾鞘颵 陰平 蕭豪 審 蕭豪開一 開口
908 嬌驕 陰平 蕭豪 見 蕭豪齊二 齊齒
909 蕉焦椒燋憔 陰平 蕭豪 精 蕭豪齊二 齊齒
910 標幖臕鑣杓飇 陰平 蕭豪 幫 蕭豪齊二 齊齒
911 交蛟咬郊茭鮫膠教 陰平 蕭豪 見 蕭豪齊一 齊齒
912 包胞苞 陰平 蕭豪 幫 蕭豪開二 開口
913 嘲抓啁 陰平 蕭豪 照 蕭豪開一 開口
914 高篙膏羔糕橰臯櫜鼛 陰平 蕭豪 見 蕭豪開一 開口
915 刀叨舠魛 陰平 蕭豪 端 蕭豪開一 開口
916 騷搔艘臊繅颾 陰平 蕭豪 心 蕭豪開一 開口
917 遭糟 陰平 蕭豪 精 蕭豪開一 開口
918 鏖䥝爊 陰平 蕭豪 影 蕭豪開一 開口
919 昭招朝 陰平 蕭豪 照 蕭豪齊二 齊齒
920 邀夭訞幺喓腰要葽 陰平 蕭豪 影 蕭豪齊二 齊齒
921 飄漂 陰平 蕭豪 滂 蕭豪齊二 齊齒
922 抛胞脬 陰平 蕭豪 滂 蕭豪開二 開口
923 絛掏饕叨滔韜慆 陰平 蕭豪 透 蕭豪開一 開口
924 趫橇 陰平 蕭豪 溪 蕭豪齊二 齊齒
925 哮虓烋嗃詨 陰平 蕭豪 曉 蕭豪齊一 齊齒
926 敲磽 陰平 蕭豪 溪 蕭豪齊一 齊齒
927 抄䜈 陰平 蕭豪 穿 蕭豪開一 開口
928 坳凹 陰平 蕭豪 影 蕭豪齊一 齊齒
929 蒿薅 陰平 蕭豪 曉 蕭豪開一 開口
930 澆 陰平 蕭豪 溪 蕭豪開一 開口
931 褒 陰平 蕭豪 幫 蕭豪開一 開口
932 挑 陰平 蕭豪 透 蕭豪齊二 齊齒
933 超 陰平 蕭豪 穿 蕭豪齊二 齊齒
934 鍬 陰平 蕭豪 清 蕭豪齊二 齊齒
935 操 陰平 蕭豪 清 蕭豪開一 開口
936 豪毫號濠滜 陽平 蕭豪 曉 蕭豪開一 開口
937 寮遼僚鷯憀聊 陽平 蕭豪 來 蕭豪齊二 齊齒
938 饒橈蕘 陽平 蕭豪 日 蕭豪齊二 齊齒
939 苗描緢 陽平 蕭豪 明 蕭豪齊二 齊齒
940 毛芼旄茅蝥貓髦 陽平 蕭豪 明 蕭豪開二 開口
941 猱㺜鐃呶怓撓譊 陽平 蕭豪 泥 蕭豪開一 開口
942 牢勞轑澇醪撈 陽平 蕭豪 來 蕭豪開一 開口
943 迢髫蜩調條佻跳 陽平 蕭豪 透 蕭豪齊二 齊齒
944 潮朝韶鼂 陽平 蕭豪 穿 蕭豪齊二 齊齒
945 遙搖謠瑤颻窰堯陶姚嶢 陽平 蕭豪 影 蕭豪齊二 齊齒
946 樵瞧譙 陽平 蕭豪 清 蕭豪齊二 齊齒
947 鼇𩪋嗷廒敖璈聱獒驁嚻遨熬謷 陽平 蕭豪 疑 蕭豪開一 開口
948 喬蕎橋僑翹 陽平 蕭豪 溪 蕭豪齊二 齊齒
949 爻肴淆殽 陽平 蕭豪 影 蕭豪齊一 齊齒
950 袍炮跑鞄匏咆庖 陽平 蕭豪 滂 蕭豪開二 開口
951 桃逃咷鼗陶萄綯醄淘濤檮 陽平 蕭豪 透 蕭豪開一 開口
952 曹漕槽嘈螬 陽平 蕭豪 清 蕭豪開一 開口
953 瓢薸 陽平 蕭豪 滂 蕭豪齊二 齊齒
954 巢漅 陽平 蕭豪 穿 蕭豪開一 開口
955 濁濯鐲擢 入平 蕭豪 穿 蕭豪齊二 齊齒
956 鐸度踱 入平 蕭豪 端 蕭豪開一 開口
957 薄箔泊博 入平 蕭豪 幫 蕭豪開一 開口
958 學鷽 入平 蕭豪 曉 蕭豪齊一 齊齒
