#序 字 小韻序號 頁碼
346 橫 494 507
347 兵 495 507
348 陶 560 580
349 臭 563 581
350 九 566 581
351 六 570 581
352 集 574 581
353 就 574 581
354 濡 576 581
355 孚 579 581
356 朴 579 581
357 茅 591 581
358 譨 598 581/582
359 朁 599 597
360 男 614 597/598
361 躳 617 598
362 風 2264 598
363 楓 2264 598
364 闇 631 610
365 陰 631 610
366 蚌 674 10
367 蜯 674 10
368 猛 675 10/11
369 艋 675 11
370 蜢 675 11
371 礦 2265 11
372 鑛 2265 11
373 𨥥 2265 11
374 𥐫 2265 11
375 穬 2265 11
376 獷 2265 11
377 懭 2265 11
378 䵃 2265 11
379 丱 2265 11
380 䣙 2266 11
381 傰 2266 11
382 在 692 32
383 友 702 32
384 有 702 32
385 右 702 32
386 殆 702 32
387 怠 702 32
388 海 712 32
389 晦 712 32
390 悔 712 32
391 駭 712 32/33
392 𣦾 718 42
393 提 719 42
394 采 721 42
395 久 726 32
396 偕 726 32
397 母 729 42/43
398 畝 729 43
399 寫 738 56
400 者 740 56
401 庶 740 56
402 馬 750 71
403 旅 759 71
404 寡 763 71
405 暇 764 71
406 大 796 78
407 角 967 148
408 大 1001 157
409 景 1088 182
410 老 1141 206
411 懰 1141 206
412 綹 1141 206
413 考 1144 206/207
414 栲 1144 207
415 軌 1146 207
416 簋 1146 207
417 道 1149 207
418 好 1157 207
419 保 1162 207
420 飽 1162 207
421 埽 1164 207
422 造 1165 207
423 禱 1167 207/208
424 食 1273 33
425 宵 1580 168
426 繡 1580 168
427 綃 1580 168
428 虐 1586 168
429 可 1638 185
430 地 1646 185
431 梁 1703 212
432 褥 1801 240
433 六 1808 240
434 椓 1906 30/31
435 垢 1907 30
436 日 1933 58
437 昔 2085 128
438 的 2094 127/128
439 客 2102 128
440 斁 2116 128
441 厝 2151 177
442 來 2153 176/177
443 暨 2166 176
444 杓 2171 177
445 來 2174 176/177
