#index 平小韻 上小韻 去小韻 入小韻 重上歸于去 file_name 增補小韻
1 1 670 1237 1920 FALSE tung.m4a 
2 2 671 1238 1897 FALSE thung.m4a 
3 3 672 1239 1898 TRUE dung.m4a 
4 4 673 1240 1899 FALSE lung.m4a 
5 5 ? ? ? FALSE lyung.m4a 4
6 6 2266 ? 1891 TRUE bung.m4a 
7 7 675 1246 1892 FALSE mung.m4a 
8 8 ? 1234 1895 FALSE tshung.m4a 
9 9 676 1235 ? FALSE tzung.m4a 
10 10 691 1236 1902 FALSE tzyung.m4a 1918
11 11 ? ? 1896 TRUE dzung.m4a 
12 12 ? 1253 ? TRUE dzyung.m4a 
140 135 786 1367  FALSE qai.m4a 1378
141 136 ? 1368  FALSE ngai.m4a 
142 137 ? 1357  FALSE thai.m4a 
143 138 796 1358  TRUE dai.m4a 1361
144 139 797 1364  FALSE nai.m4a 
145 140 ? 1362  FALSE lai.m4a 1363
146 141 ? 1386  FALSE sai.m4a 
147 142 792 1365  FALSE tshai.m4a 
148 143 793 1373  FALSE tzai.m4a 
149 144 794 1374  TRUE dzai.m4a 
150 145 818 1406  FALSE hui.m4a 173
151 145 818 1406  FALSE hui.m4a 1429
152 145 818 1406  FALSE hui.m4a 2280
153 146 807 1425  FALSE khui.m4a 816
154 146 807 1425  FALSE khui.m4a 1427
155 147 799 1414  FALSE qui.m4a 1415
156 148 819 1410  FALSE kui.m4a 149
157 148 819 1410  FALSE kui.m4a 1411
158 150 798 1405  TRUE hhui.m4a 1407
159 151 800 1417  FALSE ngui.m4a 
160 152 ? 1394  FALSE tui.m4a 
161 153 ? 1395  FALSE thui.m4a 
162 154 805 1393  TRUE dui.m4a 
163 155 806 1396  FALSE lui.m4a 
164 156 803 1403  FALSE tshui.m4a 815
165 157 ? 1399  FALSE pui.m4a 
166 158 ? 1397  FALSE phui.m4a 
167 159 802 1400  FALSE mui.m4a 
168 160 ? 1413  TRUE drui.m4a 
169 161 ? 1402  TRUE szui.m4a 
170 162 810 1418  FALSE tcui.m4a 
171 163 811 1409  FALSE zhui.m4a 170
172 164 812 1401  FALSE sui.m4a 
173 165 2267 1416  FALSE ui.m4a 
174 166 2281 1412  TRUE gui.m4a 1426
175 167 814 1428  FALSE tzui.m4a 171
176 168 801 1398  TRUE bui.m4a 813
177 169 817 1421  FALSE shui.m4a 713
178 169 817 1421  FALSE shui.m4a 1422
179 172 ? 1420  TRUE szhui.m4a 
180 174 ? 1419  FALSE tchui.m4a 809
181 175 804 1404  TRUE dzui.m4a 
182 176 820 1430 1921 FALSE tcin.m4a 
183 177 823 ? 1922 FALSE shin.m4a 
184 178 829 1452 1924 FALSE tchin.m4a 
185 179 821 1438 1923 TRUE szhin.m4a 
186 180 822 1433 1925 FALSE zhin.m4a 
187 181 ? 1441 1927 FALSE sin.m4a 
