ㅂ	p	
ㅍ	pʰ	
ᄈ平	pʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
ᄈ仄	b	【譯訓】全濁之字平聲近于次清上去入近于全清
ㅁ	m	
ᄫ	f	
ᄬ	fv/fʱ	
ᄝ	v	
ㄷ	t	
ㅌ	tʰ	
ᄄ平	tʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
ᄄ仄	d	【譯訓】全濁之字平聲近于次清上去入近于全清
ㄴ	n	
ᅎ	ts	
ᅔ	tsʰ	
ᅏ平	tsʱ	
ᅏ仄	dz	
ᄼ	s	
ᄽ	sz/sʱ	
ᅐ	ʈʂ/tʃ	
ᅕ	ʈʂʰ/tʃʰ	
ᅑ平	ʈʂʱ/tʃʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
ᅑ仄	ɖʐ/dʒ	【譯訓】全濁之字平聲近于次清上去入近于全清
ᄾ	ʂ/ʃ	
ᄿ	ʂʐ/ʂʱ/ʃʒ/ʃʱ	
ㄱ	k	
ㅋ	kʰ	
ᄁ平	kʱ	【譯訓】全濁之字平聲近于次清上去入近于全清
ᄁ仄	g	【譯訓】全濁之字平聲近于次清上去入近于全清
ᅌ	ŋ	
ᅙ	ʔ	
ㅎ	h/x	
ᅘ	ɦ	
ㅇ	j	
ㄹ	l	
ᅀ	ʒ/ɻ	
